course_id,local,modality,date,total_leads
PBI,Centro 2,In-person,2023-01-09,8
VND,Centro 5,Hybrid,2023-01-09,8
HOT,Centro 3,In-person,2023-01-09,7
LID,Centro 4,In-person,2023-01-09,7
SOC,Centro 3,In-person,2023-01-09,7
TUR,Centro 5,Hybrid,2023-01-09,7
EMP,Centro 2,In-person,2023-01-09,6
GES,Centro 4,Hybrid,2023-01-09,5
ING,Centro 3,Hybrid,2023-01-09,5
ING,Centro 5,Hybrid,2023-01-09,5
LID,Centro 2,In-person,2023-01-09,5
LOG,Centro 3,In-person,2023-01-09,5
PYT,Centro 4,Online,2023-01-09,5
CYB,Centro 2,Online,2023-01-09,4
ING,Centro 2,Hybrid,2023-01-09,4
PRI,Centro 4,Hybrid,2023-01-09,4
SCI,Centro 1,Hybrid,2023-01-09,4
SOC,Centro 2,In-person,2023-01-09,4
HCP,Centro 2,In-person,2023-01-09,3
SEG,Centro 2,In-person,2023-01-09,3
TUR,Centro 2,Hybrid,2023-01-09,3
INF,Centro 2,Hybrid,2023-01-16,87
FOR,Centro 1,In-person,2023-01-16,86
GES,Centro 3,Online,2023-01-16,83
EMP,Centro 5,In-person,2023-01-16,79
GES,Centro 1,Hybrid,2023-01-16,72
HAC,Centro 3,Online,2023-01-16,68
PRO,Centro 2,Hybrid,2023-01-16,67
LOG,Centro 3,In-person,2023-01-16,66
CYB,Centro 2,In-person,2023-01-16,64
TUR,Centro 4,Hybrid,2023-01-16,64
CYB,Centro 4,Online,2023-01-16,63
HOT,Centro 2,In-person,2023-01-16,63
PRO,Centro 2,Online,2023-01-16,63
EXC,Centro 1,Online,2023-01-16,62
EMP,Centro 1,In-person,2023-01-16,61
HAC,Centro 2,Online,2023-01-16,60
HCP,Centro 3,In-person,2023-01-16,58
PRI,Centro 1,Hybrid,2023-01-16,56
SST,Centro 5,In-person,2023-01-16,55
SCI,Centro 5,In-person,2023-01-16,54
HCP,Centro 2,In-person,2023-01-16,52
MNT,Centro 2,In-person,2023-01-16,52
SOC,Centro 5,Hybrid,2023-01-16,52
SEG,Centro 1,In-person,2023-01-16,46
PRO,Centro 5,Hybrid,2023-01-16,45
ING,Centro 4,Online,2023-01-16,41
SOC,Centro 5,In-person,2023-01-16,41
PRI,Centro 3,In-person,2023-01-16,40
VND,Centro 3,Hybrid,2023-01-16,40
EXC,Centro 1,In-person,2023-01-16,39
PBI,Centro 3,Hybrid,2023-01-16,39
GES,Centro 1,In-person,2023-01-16,38
TUR,Centro 1,In-person,2023-01-16,38
TUR,Centro 5,In-person,2023-01-16,38
SCI,Centro 3,Hybrid,2023-01-16,36
SCI,Centro 1,Hybrid,2023-01-16,35
LID,Centro 2,In-person,2023-01-16,34
HOT,Centro 4,In-person,2023-01-16,29
CYB,Centro 2,Hybrid,2023-01-16,28
FOR,Centro 2,In-person,2023-01-16,26
HAC,Centro 1,In-person,2023-01-16,24
HCP,Centro 5,Hybrid,2023-01-16,23
PRI,Centro 2,Hybrid,2023-01-16,22
LID,Centro 4,Hybrid,2023-01-16,20
LOG,Centro 1,Hybrid,2023-01-16,19
VND,Centro 5,Hybrid,2023-01-16,19
MNT,Centro 1,In-person,2023-01-16,18
EXC,Centro 3,In-person,2023-01-16,17
PBI,Centro 4,Hybrid,2023-01-16,16
SST,Centro 1,In-person,2023-01-16,16
GER,Centro 5,In-person,2023-01-16,14
EXC,Centro 2,In-person,2023-01-16,10
HOT,Centro 5,Hybrid,2023-01-16,10
FOR,Centro 5,Online,2023-01-16,9
INF,Centro 3,In-person,2023-01-16,8
SEG,Centro 2,Hybrid,2023-01-16,8
LOG,Centro 1,In-person,2023-01-16,7
LOG,Centro 5,In-person,2023-01-16,7
EXC,Centro 5,Online,2023-01-16,6
GER,Centro 2,Hybrid,2023-01-16,6
GER,Centro 1,In-person,2023-01-16,5
GER,Centro 3,In-person,2023-01-16,5
ING,Centro 1,Online,2023-01-16,5
PRO,Centro 5,Online,2023-01-16,5
HCP,Centro 4,In-person,2023-01-16,4
HOT,Centro 1,In-person,2023-01-16,4
LOG,Centro 4,Hybrid,2023-01-16,4
MNT,Centro 3,In-person,2023-01-16,4
SEG,Centro 5,Online,2023-01-16,4
SOC,Centro 1,In-person,2023-01-16,4
SST,Centro 2,In-person,2023-01-16,4
EXC,Centro 2,Hybrid,2023-01-16,3
HAC,Centro 4,In-person,2023-01-16,3
SEG,Centro 5,In-person,2023-01-16,3
MNT,Centro 5,In-person,2023-01-16,1
HAC,Centro 5,In-person,2023-01-23,174
PRI,Centro 5,Hybrid,2023-01-23,128
PBI,Centro 2,Online,2023-01-23,94
SST,Centro 1,In-person,2023-01-23,92
PRI,Centro 5,In-person,2023-01-23,73
LID,Centro 2,Hybrid,2023-01-23,71
PRI,Centro 3,Hybrid,2023-01-23,71
FOR,Centro 4,Online,2023-01-23,69
PBI,Centro 1,Hybrid,2023-01-23,69
LOG,Centro 5,In-person,2023-01-23,63
EXC,Centro 4,Online,2023-01-23,60
SEG,Centro 1,In-person,2023-01-23,59
EXC,Centro 5,Online,2023-01-23,55
LOG,Centro 1,Hybrid,2023-01-23,53
HOT,Centro 4,In-person,2023-01-23,50
LID,Centro 2,Online,2023-01-23,50
EMP,Centro 1,In-person,2023-01-23,47
EXC,Centro 4,Hybrid,2023-01-23,47
SCI,Centro 4,Hybrid,2023-01-23,47
SST,Centro 5,In-person,2023-01-23,47
EXC,Centro 1,In-person,2023-01-23,46
GES,Centro 4,Hybrid,2023-01-23,46
MNT,Centro 3,In-person,2023-01-23,45
GER,Centro 2,Hybrid,2023-01-23,43
EMP,Centro 2,In-person,2023-01-23,42
HCP,Centro 3,In-person,2023-01-23,42
VND,Centro 5,Online,2023-01-23,41
SOC,Centro 3,In-person,2023-01-23,39
LID,Centro 1,Hybrid,2023-01-23,37
SEG,Centro 2,Hybrid,2023-01-23,37
SOC,Centro 5,In-person,2023-01-23,37
PRO,Centro 4,Online,2023-01-23,34
SST,Centro 4,Hybrid,2023-01-23,34
HCP,Centro 1,Hybrid,2023-01-23,33
TUR,Centro 2,Hybrid,2023-01-23,33
EMP,Centro 3,In-person,2023-01-23,32
LID,Centro 2,In-person,2023-01-23,32
SOC,Centro 1,In-person,2023-01-23,32
EXC,Centro 1,Online,2023-01-23,30
PRO,Centro 5,Online,2023-01-23,29
SCI,Centro 1,In-person,2023-01-23,29
PBI,Centro 1,Online,2023-01-23,28
HAC,Centro 3,In-person,2023-01-23,24
CYB,Centro 4,In-person,2023-01-23,20
HAC,Centro 3,Online,2023-01-23,20
HAC,Centro 1,In-person,2023-01-23,20
PBI,Centro 4,Hybrid,2023-01-23,18
FOR,Centro 5,Hybrid,2023-01-23,16
PBI,Centro 3,Online,2023-01-23,16
FOR,Centro 1,In-person,2023-01-23,15
PRO,Centro 2,Online,2023-01-23,15
CYB,Centro 4,Hybrid,2023-01-23,14
HOT,Centro 1,In-person,2023-01-23,14
SEG,Centro 5,In-person,2023-01-23,14
CYB,Centro 3,Hybrid,2023-01-23,13
PRO,Centro 5,Hybrid,2023-01-23,13
VND,Centro 1,In-person,2023-01-23,13
VND,Centro 2,In-person,2023-01-23,13
PRI,Centro 3,In-person,2023-01-23,12
PRO,Centro 3,Hybrid,2023-01-23,12
LOG,Centro 3,In-person,2023-01-23,11
PBI,Centro 3,Hybrid,2023-01-23,11
SCI,Centro 1,Hybrid,2023-01-23,11
SCI,Centro 5,In-person,2023-01-23,11
TUR,Centro 5,In-person,2023-01-23,10
PYT,Centro 4,Online,2023-01-23,9
FOR,Centro 5,Online,2023-01-23,8
HAC,Centro 2,Online,2023-01-23,8
HAC,Centro 4,In-person,2023-01-23,8
HAC,Centro 2,In-person,2023-01-23,7
HOT,Centro 3,In-person,2023-01-23,7
LID,Centro 1,In-person,2023-01-23,7
HCP,Centro 2,In-person,2023-01-23,6
SEG,Centro 3,In-person,2023-01-23,6
GER,Centro 3,In-person,2023-01-23,5
MNT,Centro 2,In-person,2023-01-23,5
SCI,Centro 2,In-person,2023-01-23,5
SST,Centro 3,In-person,2023-01-23,5
VND,Centro 1,Hybrid,2023-01-23,5
LOG,Centro 3,Hybrid,2023-01-23,4
LOG,Centro 4,In-person,2023-01-23,4
MNT,Centro 4,In-person,2023-01-23,4
PYT,Centro 1,Hybrid,2023-01-23,4
VND,Centro 3,Hybrid,2023-01-23,4
HCP,Centro 5,Hybrid,2023-01-23,3
HCP,Centro 4,In-person,2023-01-23,3
SST,Centro 1,Online,2023-01-23,3
SST,Centro 1,Online,2023-01-30,154
ING,Centro 4,Online,2023-01-30,126
EXC,Centro 5,Online,2023-01-30,123
SST,Centro 3,In-person,2023-01-30,120
GES,Centro 5,Hybrid,2023-01-30,103
CYB,Centro 2,Online,2023-01-30,99
CYB,Centro 5,Online,2023-01-30,96
VND,Centro 4,Online,2023-01-30,93
SCI,Centro 2,In-person,2023-01-30,86
SEG,Centro 2,Hybrid,2023-01-30,83
FOR,Centro 2,In-person,2023-01-30,81
PBI,Centro 3,Online,2023-01-30,79
PRI,Centro 3,Hybrid,2023-01-30,65
EXC,Centro 2,Online,2023-01-30,64
MNT,Centro 4,In-person,2023-01-30,64
PBI,Centro 4,Hybrid,2023-01-30,64
LOG,Centro 1,Hybrid,2023-01-30,60
FOR,Centro 4,Online,2023-01-30,59
LOG,Centro 5,In-person,2023-01-30,57
GER,Centro 2,In-person,2023-01-30,53
LOG,Centro 3,In-person,2023-01-30,51
SCI,Centro 5,In-person,2023-01-30,51
GER,Centro 3,In-person,2023-01-30,48
GER,Centro 4,In-person,2023-01-30,48
SEG,Centro 3,In-person,2023-01-30,47
VND,Centro 5,Hybrid,2023-01-30,47
VND,Centro 2,In-person,2023-01-30,45
SCI,Centro 1,Hybrid,2023-01-30,40
GER,Centro 2,Hybrid,2023-01-30,39
GER,Centro 4,Hybrid,2023-01-30,39
MNT,Centro 2,In-person,2023-01-30,38
VND,Centro 3,Hybrid,2023-01-30,38
LID,Centro 3,Online,2023-01-30,35
INF,Centro 4,Hybrid,2023-01-30,34
LID,Centro 1,Hybrid,2023-01-30,34
EXC,Centro 4,Online,2023-01-30,33
HOT,Centro 5,In-person,2023-01-30,33
HAC,Centro 3,In-person,2023-01-30,31
LID,Centro 2,In-person,2023-01-30,31
LID,Centro 3,In-person,2023-01-30,31
SST,Centro 5,Hybrid,2023-01-30,27
PYT,Centro 3,Hybrid,2023-01-30,25
SST,Centro 1,In-person,2023-01-30,25
CYB,Centro 2,Hybrid,2023-01-30,24
SEG,Centro 5,Online,2023-01-30,24
FOR,Centro 3,Hybrid,2023-01-30,23
LID,Centro 4,Online,2023-01-30,22
SST,Centro 4,Online,2023-01-30,22
EXC,Centro 2,In-person,2023-01-30,21
SST,Centro 5,In-person,2023-01-30,21
TUR,Centro 5,In-person,2023-01-30,21
GES,Centro 4,Hybrid,2023-01-30,18
HCP,Centro 3,In-person,2023-01-30,18
LOG,Centro 4,In-person,2023-01-30,18
TUR,Centro 2,Hybrid,2023-01-30,18
VND,Centro 1,Hybrid,2023-01-30,18
PBI,Centro 3,Hybrid,2023-01-30,17
EMP,Centro 4,In-person,2023-01-30,16
LID,Centro 5,Online,2023-01-30,16
SEG,Centro 1,In-person,2023-01-30,16
EMP,Centro 5,In-person,2023-01-30,14
PRI,Centro 1,In-person,2023-01-30,14
INF,Centro 5,In-person,2023-01-30,13
ING,Centro 2,Hybrid,2023-01-30,13
LID,Centro 4,Hybrid,2023-01-30,13
PRI,Centro 3,In-person,2023-01-30,13
TUR,Centro 2,In-person,2023-01-30,13
PRO,Centro 2,Online,2023-01-30,12
FOR,Centro 5,Online,2023-01-30,11
HAC,Centro 4,In-person,2023-01-30,11
INF,Centro 3,In-person,2023-01-30,11
PRO,Centro 4,In-person,2023-01-30,11
EMP,Centro 1,In-person,2023-01-30,10
EMP,Centro 2,In-person,2023-01-30,10
HOT,Centro 5,Hybrid,2023-01-30,10
HAC,Centro 5,In-person,2023-01-30,9
MNT,Centro 3,In-person,2023-01-30,9
SST,Centro 4,Hybrid,2023-01-30,9
HOT,Centro 1,In-person,2023-01-30,8
LOG,Centro 3,Hybrid,2023-01-30,8
PRI,Centro 2,Hybrid,2023-01-30,8
SCI,Centro 2,Hybrid,2023-01-30,8
ING,Centro 1,Online,2023-01-30,7
TUR,Centro 1,In-person,2023-01-30,7
SST,Centro 2,Hybrid,2023-01-30,6
PBI,Centro 1,Hybrid,2023-01-30,5
PRO,Centro 3,In-person,2023-01-30,5
PYT,Centro 4,In-person,2023-01-30,5
FOR,Centro 1,Online,2023-01-30,4
FOR,Centro 1,In-person,2023-01-30,4
GES,Centro 3,Online,2023-01-30,4
LID,Centro 2,Online,2023-01-30,4
HAC,Centro 1,In-person,2023-01-30,3
PRI,Centro 5,Hybrid,2023-01-30,3
SEG,Centro 3,Online,2023-01-30,3
LOG,Centro 2,In-person,2023-01-30,1
PBI,Centro 3,Online,2023-02-06,109
LID,Centro 4,Online,2023-02-06,88
HCP,Centro 3,In-person,2023-02-06,87
GER,Centro 3,In-person,2023-02-06,79
SEG,Centro 5,Online,2023-02-06,78
INF,Centro 2,Hybrid,2023-02-06,67
LOG,Centro 2,Hybrid,2023-02-06,65
VND,Centro 1,Online,2023-02-06,63
SOC,Centro 3,In-person,2023-02-06,61
FOR,Centro 4,Online,2023-02-06,60
GER,Centro 2,In-person,2023-02-06,60
EXC,Centro 1,Online,2023-02-06,59
LID,Centro 2,Hybrid,2023-02-06,58
VND,Centro 4,Online,2023-02-06,58
SEG,Centro 2,Online,2023-02-06,57
CYB,Centro 4,Online,2023-02-06,56
PRO,Centro 2,Online,2023-02-06,53
PRO,Centro 2,Hybrid,2023-02-06,52
LID,Centro 5,Online,2023-02-06,51
PYT,Centro 1,Hybrid,2023-02-06,51
INF,Centro 3,Hybrid,2023-02-06,50
PRI,Centro 4,In-person,2023-02-06,50
MNT,Centro 4,In-person,2023-02-06,48
VND,Centro 5,In-person,2023-02-06,46
PBI,Centro 2,Hybrid,2023-02-06,43
PYT,Centro 3,Online,2023-02-06,41
FOR,Centro 1,Online,2023-02-06,40
GES,Centro 2,In-person,2023-02-06,40
SOC,Centro 5,Hybrid,2023-02-06,37
EMP,Centro 1,In-person,2023-02-06,36
EXC,Centro 4,Online,2023-02-06,36
HAC,Centro 5,Hybrid,2023-02-06,36
SEG,Centro 4,In-person,2023-02-06,34
LOG,Centro 3,In-person,2023-02-06,29
ING,Centro 4,Online,2023-02-06,26
PYT,Centro 1,Online,2023-02-06,26
GER,Centro 2,Hybrid,2023-02-06,25
HAC,Centro 3,In-person,2023-02-06,25
PRI,Centro 5,Hybrid,2023-02-06,25
VND,Centro 3,Hybrid,2023-02-06,25
CYB,Centro 4,In-person,2023-02-06,23
EXC,Centro 3,Hybrid,2023-02-06,23
HAC,Centro 4,In-person,2023-02-06,23
HOT,Centro 4,In-person,2023-02-06,23
LID,Centro 2,In-person,2023-02-06,23
LOG,Centro 4,In-person,2023-02-06,23
CYB,Centro 5,In-person,2023-02-06,22
GES,Centro 1,In-person,2023-02-06,22
LID,Centro 4,In-person,2023-02-06,22
SST,Centro 3,In-person,2023-02-06,22
HOT,Centro 5,Hybrid,2023-02-06,21
SCI,Centro 1,Hybrid,2023-02-06,21
SST,Centro 4,Online,2023-02-06,21
SOC,Centro 1,In-person,2023-02-06,20
GER,Centro 4,In-person,2023-02-06,19
HAC,Centro 4,Online,2023-02-06,18
PRI,Centro 3,Hybrid,2023-02-06,18
CYB,Centro 2,Hybrid,2023-02-06,17
HOT,Centro 5,In-person,2023-02-06,17
MNT,Centro 3,In-person,2023-02-06,17
EMP,Centro 2,In-person,2023-02-06,16
HAC,Centro 5,In-person,2023-02-06,16
INF,Centro 4,In-person,2023-02-06,15
PRO,Centro 4,In-person,2023-02-06,15
TUR,Centro 5,In-person,2023-02-06,15
INF,Centro 3,In-person,2023-02-06,14
LOG,Centro 5,In-person,2023-02-06,13
SCI,Centro 2,In-person,2023-02-06,13
FOR,Centro 1,In-person,2023-02-06,12
EMP,Centro 3,In-person,2023-02-06,11
FOR,Centro 5,Hybrid,2023-02-06,11
ING,Centro 3,Online,2023-02-06,11
HAC,Centro 3,Online,2023-02-06,10
HCP,Centro 1,In-person,2023-02-06,10
LID,Centro 2,Online,2023-02-06,10
SCI,Centro 1,In-person,2023-02-06,10
VND,Centro 3,Online,2023-02-06,10
HCP,Centro 4,In-person,2023-02-06,9
HCP,Centro 5,In-person,2023-02-06,9
PRI,Centro 2,Hybrid,2023-02-06,9
VND,Centro 1,In-person,2023-02-06,9
MNT,Centro 5,In-person,2023-02-06,8
GER,Centro 1,In-person,2023-02-06,7
HCP,Centro 1,Hybrid,2023-02-06,7
PBI,Centro 4,Online,2023-02-06,7
PYT,Centro 4,Online,2023-02-06,7
PYT,Centro 4,In-person,2023-02-06,7
EXC,Centro 2,Hybrid,2023-02-06,6
HCP,Centro 2,In-person,2023-02-06,6
GES,Centro 3,Online,2023-02-06,5
PYT,Centro 5,In-person,2023-02-06,5
SOC,Centro 4,Hybrid,2023-02-06,5
TUR,Centro 1,In-person,2023-02-06,5
VND,Centro 1,Hybrid,2023-02-06,5
CYB,Centro 3,In-person,2023-02-06,4
EXC,Centro 5,Online,2023-02-06,4
EXC,Centro 3,In-person,2023-02-06,4
ING,Centro 5,In-person,2023-02-06,4
LOG,Centro 1,In-person,2023-02-06,4
PRO,Centro 3,In-person,2023-02-06,4
SEG,Centro 2,Hybrid,2023-02-06,4
SST,Centro 5,Online,2023-02-06,4
SST,Centro 1,In-person,2023-02-06,4
EXC,Centro 2,Online,2023-02-06,3
LOG,Centro 2,In-person,2023-02-06,3
