course_id,local,modality,date,total_sales
CYB,Centro 4,Online,2023-01-02,3
CYB,Centro 4,In-person,2023-01-02,3
EMP,Centro 2,In-person,2023-01-02,3
EMP,Centro 5,In-person,2023-01-02,3
FOR,Centro 4,In-person,2023-01-02,3
FOR,Centro 5,Online,2023-01-02,3
GER,Centro 5,In-person,2023-01-02,3
GES,Centro 1,In-person,2023-01-02,3
GES,Centro 4,In-person,2023-01-02,3
HCP,Centro 3,In-person,2023-01-02,3
HOT,Centro 1,In-person,2023-01-02,3
INF,Centro 1,In-person,2023-01-02,3
INF,Centro 5,In-person,2023-01-02,3
PBI,Centro 2,In-person,2023-01-02,3
PBI,Centro 3,In-person,2023-01-02,3
PRI,Centro 4,Hybrid,2023-01-02,3
SOC,Centro 4,In-person,2023-01-02,3
SOC,Centro 5,In-person,2023-01-02,3
SST,Centro 2,In-person,2023-01-02,3
SST,Centro 4,Online,2023-01-02,3
TUR,Centro 5,Hybrid,2023-01-02,3
TUR,Centro 5,In-person,2023-01-02,3
VND,Centro 2,Hybrid,2023-01-02,3
VND,Centro 3,In-person,2023-01-02,3
VND,Centro 4,In-person,2023-01-02,3
VND,Centro 5,Hybrid,2023-01-02,3
CYB,Centro 5,Online,2023-01-02,2
EXC,Centro 4,Hybrid,2023-01-02,2
EXC,Centro 5,Hybrid,2023-01-02,2
FOR,Centro 2,In-person,2023-01-02,2
GER,Centro 2,Hybrid,2023-01-02,2
GES,Centro 5,Hybrid,2023-01-02,2
HAC,Centro 4,In-person,2023-01-02,2
HOT,Centro 4,In-person,2023-01-02,2
INF,Centro 2,Hybrid,2023-01-02,2
INF,Centro 3,In-person,2023-01-02,2
INF,Centro 4,In-person,2023-01-02,2
LID,Centro 4,Hybrid,2023-01-02,2
PRI,Centro 5,In-person,2023-01-02,2
PRO,Centro 4,In-person,2023-01-02,2
SCI,Centro 4,Hybrid,2023-01-02,2
VND,Centro 1,Hybrid,2023-01-02,2
SEG,Centro 5,Online,2023-01-09,57
LOG,Centro 5,In-person,2023-01-09,34
PRO,Centro 2,Online,2023-01-09,30
CYB,Centro 4,Online,2023-01-09,26
INF,Centro 4,In-person,2023-01-09,26
GER,Centro 3,In-person,2023-01-09,25
TUR,Centro 2,In-person,2023-01-09,22
PBI,Centro 3,In-person,2023-01-09,19
EXC,Centro 5,Online,2023-01-09,18
GES,Centro 4,In-person,2023-01-09,17
GER,Centro 4,In-person,2023-01-09,16
PYT,Centro 1,Online,2023-01-09,16
FOR,Centro 1,In-person,2023-01-09,15
HOT,Centro 3,Hybrid,2023-01-09,15
SCI,Centro 5,In-person,2023-01-09,15
EXC,Centro 4,Online,2023-01-09,14
FOR,Centro 2,Hybrid,2023-01-09,14
SST,Centro 3,Hybrid,2023-01-09,14
SEG,Centro 1,In-person,2023-01-09,13
TUR,Centro 5,In-person,2023-01-09,13
CYB,Centro 5,In-person,2023-01-09,12
PYT,Centro 3,In-person,2023-01-09,12
SCI,Centro 2,Hybrid,2023-01-09,12
HAC,Centro 4,Online,2023-01-09,10
HOT,Centro 1,In-person,2023-01-09,10
PRI,Centro 5,In-person,2023-01-09,10
PRO,Centro 3,In-person,2023-01-09,10
SEG,Centro 4,In-person,2023-01-09,10
INF,Centro 3,Hybrid,2023-01-09,9
VND,Centro 3,Hybrid,2023-01-09,9
HAC,Centro 3,Online,2023-01-09,8
HOT,Centro 5,Hybrid,2023-01-09,8
LID,Centro 3,In-person,2023-01-09,8
PYT,Centro 1,Hybrid,2023-01-09,8
SST,Centro 2,Hybrid,2023-01-09,8
SST,Centro 2,In-person,2023-01-09,8
VND,Centro 2,Hybrid,2023-01-09,8
CYB,Centro 3,Hybrid,2023-01-09,7
MNT,Centro 5,In-person,2023-01-09,7
SCI,Centro 2,In-person,2023-01-09,7
GES,Centro 5,Online,2023-01-09,6
HAC,Centro 2,Online,2023-01-09,6
FOR,Centro 2,In-person,2023-01-09,5
GES,Centro 1,In-person,2023-01-09,5
SOC,Centro 1,In-person,2023-01-09,5
SST,Centro 5,Hybrid,2023-01-09,5
SST,Centro 5,In-person,2023-01-09,5
TUR,Centro 4,Hybrid,2023-01-09,5
VND,Centro 4,Online,2023-01-09,5
PBI,Centro 3,Online,2023-01-09,4
PRO,Centro 2,Hybrid,2023-01-09,4
VND,Centro 3,In-person,2023-01-09,4
FOR,Centro 4,In-person,2023-01-09,3
FOR,Centro 5,Online,2023-01-09,3
GER,Centro 4,Hybrid,2023-01-09,3
HAC,Centro 1,In-person,2023-01-09,3
HOT,Centro 5,In-person,2023-01-09,3
INF,Centro 3,In-person,2023-01-09,3
LID,Centro 1,Hybrid,2023-01-09,3
LOG,Centro 1,Hybrid,2023-01-09,3
LOG,Centro 3,Hybrid,2023-01-09,3
SEG,Centro 2,Hybrid,2023-01-09,3
SEG,Centro 3,In-person,2023-01-09,3
SST,Centro 1,Online,2023-01-09,3
EMP,Centro 2,In-person,2023-01-09,2
HOT,Centro 3,In-person,2023-01-09,2
LID,Centro 4,In-person,2023-01-09,2
PBI,Centro 2,In-person,2023-01-09,2
SCI,Centro 3,In-person,2023-01-09,2
SOC,Centro 3,In-person,2023-01-09,2
TUR,Centro 5,Hybrid,2023-01-09,2
VND,Centro 5,Hybrid,2023-01-09,2
CYB,Centro 2,Online,2023-01-09,1
GES,Centro 4,Hybrid,2023-01-09,1
HCP,Centro 2,In-person,2023-01-09,1
ING,Centro 2,Hybrid,2023-01-09,1
ING,Centro 3,Hybrid,2023-01-09,1
ING,Centro 5,Hybrid,2023-01-09,1
LID,Centro 2,In-person,2023-01-09,1
LOG,Centro 3,In-person,2023-01-09,1
PRI,Centro 4,Hybrid,2023-01-09,1
PYT,Centro 4,Online,2023-01-09,1
SCI,Centro 1,Hybrid,2023-01-09,1
SEG,Centro 2,In-person,2023-01-09,1
SOC,Centro 2,In-person,2023-01-09,1
TUR,Centro 2,Hybrid,2023-01-09,1
INF,Centro 2,Hybrid,2023-01-16,29
EMP,Centro 5,In-person,2023-01-16,24
HAC,Centro 3,Online,2023-01-16,24
FOR,Centro 1,In-person,2023-01-16,22
GES,Centro 3,Online,2023-01-16,21
HOT,Centro 2,In-person,2023-01-16,21
TUR,Centro 4,Hybrid,2023-01-16,21
EXC,Centro 1,Online,2023-01-16,20
HAC,Centro 2,Online,2023-01-16,20
LOG,Centro 3,In-person,2023-01-16,20
CYB,Centro 2,In-person,2023-01-16,19
EMP,Centro 1,In-person,2023-01-16,19
PRI,Centro 1,Hybrid,2023-01-16,19
PRO,Centro 2,Hybrid,2023-01-16,19
CYB,Centro 4,Online,2023-01-16,18
GES,Centro 1,Hybrid,2023-01-16,18
HCP,Centro 2,In-person,2023-01-16,18
HCP,Centro 3,In-person,2023-01-16,18
SST,Centro 5,In-person,2023-01-16,18
PRO,Centro 2,Online,2023-01-16,17
MNT,Centro 2,In-person,2023-01-16,16
SEG,Centro 1,In-person,2023-01-16,16
SCI,Centro 5,In-person,2023-01-16,15
SOC,Centro 5,Hybrid,2023-01-16,14
ING,Centro 4,Online,2023-01-16,13
PRI,Centro 3,In-person,2023-01-16,13
EXC,Centro 1,In-person,2023-01-16,12
PBI,Centro 3,Hybrid,2023-01-16,11
PRO,Centro 5,Hybrid,2023-01-16,11
SOC,Centro 5,In-person,2023-01-16,11
TUR,Centro 1,In-person,2023-01-16,11
TUR,Centro 5,In-person,2023-01-16,11
VND,Centro 3,Hybrid,2023-01-16,11
GES,Centro 1,In-person,2023-01-16,10
LID,Centro 2,In-person,2023-01-16,10
SCI,Centro 1,Hybrid,2023-01-16,10
SCI,Centro 3,Hybrid,2023-01-16,10
HOT,Centro 4,In-person,2023-01-16,9
CYB,Centro 2,Hybrid,2023-01-16,8
FOR,Centro 2,In-person,2023-01-16,8
HAC,Centro 1,In-person,2023-01-16,8
PRI,Centro 2,Hybrid,2023-01-16,8
HCP,Centro 5,Hybrid,2023-01-16,7
LID,Centro 4,Hybrid,2023-01-16,6
LOG,Centro 1,Hybrid,2023-01-16,6
EXC,Centro 3,In-person,2023-01-16,5
MNT,Centro 1,In-person,2023-01-16,5
PBI,Centro 4,Hybrid,2023-01-16,5
SST,Centro 1,In-person,2023-01-16,5
VND,Centro 5,Hybrid,2023-01-16,5
GER,Centro 5,In-person,2023-01-16,4
EXC,Centro 2,In-person,2023-01-16,3
HOT,Centro 5,Hybrid,2023-01-16,3
EXC,Centro 5,Online,2023-01-16,2
FOR,Centro 5,Online,2023-01-16,2
GER,Centro 2,Hybrid,2023-01-16,2
INF,Centro 3,In-person,2023-01-16,2
LOG,Centro 1,In-person,2023-01-16,2
LOG,Centro 5,In-person,2023-01-16,2
MNT,Centro 5,In-person,2023-01-16,2
SEG,Centro 2,Hybrid,2023-01-16,2
EXC,Centro 2,Hybrid,2023-01-16,1
GER,Centro 1,In-person,2023-01-16,1
GER,Centro 3,In-person,2023-01-16,1
HAC,Centro 4,In-person,2023-01-16,1
HCP,Centro 4,In-person,2023-01-16,1
HOT,Centro 1,In-person,2023-01-16,1
ING,Centro 1,Online,2023-01-16,1
LOG,Centro 4,Hybrid,2023-01-16,1
MNT,Centro 3,In-person,2023-01-16,1
PRO,Centro 5,Online,2023-01-16,1
SEG,Centro 5,Online,2023-01-16,1
SEG,Centro 5,In-person,2023-01-16,1
SOC,Centro 1,In-person,2023-01-16,1
SST,Centro 2,In-person,2023-01-16,1
HAC,Centro 5,In-person,2023-01-23,58
PRI,Centro 5,Hybrid,2023-01-23,42
PBI,Centro 2,Online,2023-01-23,30
SST,Centro 1,In-person,2023-01-23,30
PRI,Centro 5,In-person,2023-01-23,25
PRI,Centro 3,Hybrid,2023-01-23,23
EXC,Centro 4,Online,2023-01-23,21
LID,Centro 2,Hybrid,2023-01-23,21
FOR,Centro 4,Online,2023-01-23,20
LOG,Centro 5,In-person,2023-01-23,20
PBI,Centro 1,Hybrid,2023-01-23,20
SEG,Centro 1,In-person,2023-01-23,20
EXC,Centro 5,Online,2023-01-23,17
LOG,Centro 1,Hybrid,2023-01-23,17
HOT,Centro 4,In-person,2023-01-23,16
EXC,Centro 4,Hybrid,2023-01-23,15
LID,Centro 2,Online,2023-01-23,15
SCI,Centro 4,Hybrid,2023-01-23,15
SST,Centro 5,In-person,2023-01-23,15
EMP,Centro 1,In-person,2023-01-23,14
EXC,Centro 1,In-person,2023-01-23,14
GER,Centro 2,Hybrid,2023-01-23,14
EMP,Centro 2,In-person,2023-01-23,13
GES,Centro 4,Hybrid,2023-01-23,13
HCP,Centro 3,In-person,2023-01-23,13
SEG,Centro 2,Hybrid,2023-01-23,13
MNT,Centro 3,In-person,2023-01-23,12
VND,Centro 5,Online,2023-01-23,12
SOC,Centro 3,In-person,2023-01-23,11
SST,Centro 4,Hybrid,2023-01-23,11
TUR,Centro 2,Hybrid,2023-01-23,11
HCP,Centro 1,Hybrid,2023-01-23,10
LID,Centro 1,Hybrid,2023-01-23,10
SOC,Centro 5,In-person,2023-01-23,10
EMP,Centro 3,In-person,2023-01-23,9
EXC,Centro 1,Online,2023-01-23,9
LID,Centro 2,In-person,2023-01-23,9
PRO,Centro 4,Online,2023-01-23,9
SOC,Centro 1,In-person,2023-01-23,9
HAC,Centro 3,In-person,2023-01-23,8
PBI,Centro 1,Online,2023-01-23,8
SCI,Centro 1,In-person,2023-01-23,8
HAC,Centro 1,In-person,2023-01-23,7
HAC,Centro 3,Online,2023-01-23,7
PRO,Centro 5,Online,2023-01-23,7
CYB,Centro 4,In-person,2023-01-23,6
PBI,Centro 4,Hybrid,2023-01-23,6
CYB,Centro 4,Hybrid,2023-01-23,4
FOR,Centro 1,In-person,2023-01-23,4
FOR,Centro 5,Hybrid,2023-01-23,4
HOT,Centro 1,In-person,2023-01-23,4
PBI,Centro 3,Online,2023-01-23,4
PRI,Centro 3,In-person,2023-01-23,4
PRO,Centro 2,Online,2023-01-23,4
SEG,Centro 5,In-person,2023-01-23,4
VND,Centro 1,In-person,2023-01-23,4
VND,Centro 2,In-person,2023-01-23,4
CYB,Centro 3,Hybrid,2023-01-23,3
HAC,Centro 2,Online,2023-01-23,3
HAC,Centro 4,In-person,2023-01-23,3
LOG,Centro 3,In-person,2023-01-23,3
PBI,Centro 3,Hybrid,2023-01-23,3
PRO,Centro 3,Hybrid,2023-01-23,3
PRO,Centro 5,Hybrid,2023-01-23,3
SCI,Centro 1,Hybrid,2023-01-23,3
SCI,Centro 5,In-person,2023-01-23,3
TUR,Centro 5,In-person,2023-01-23,3
FOR,Centro 5,Online,2023-01-23,2
HAC,Centro 2,In-person,2023-01-23,2
HCP,Centro 2,In-person,2023-01-23,2
HOT,Centro 3,In-person,2023-01-23,2
LID,Centro 1,In-person,2023-01-23,2
PYT,Centro 4,Online,2023-01-23,2
SEG,Centro 3,In-person,2023-01-23,2
GER,Centro 3,In-person,2023-01-23,1
HCP,Centro 4,In-person,2023-01-23,1
HCP,Centro 5,Hybrid,2023-01-23,1
LOG,Centro 3,Hybrid,2023-01-23,1
LOG,Centro 4,In-person,2023-01-23,1
MNT,Centro 2,In-person,2023-01-23,1
MNT,Centro 4,In-person,2023-01-23,1
PYT,Centro 1,Hybrid,2023-01-23,1
SCI,Centro 2,In-person,2023-01-23,1
SST,Centro 1,Online,2023-01-23,1
SST,Centro 3,In-person,2023-01-23,1
VND,Centro 1,Hybrid,2023-01-23,1
VND,Centro 3,Hybrid,2023-01-23,1
SST,Centro 1,Online,2023-01-30,49
EXC,Centro 5,Online,2023-01-30,38
ING,Centro 4,Online,2023-01-30,38
SST,Centro 3,In-person,2023-01-30,36
VND,Centro 4,Online,2023-01-30,29
SEG,Centro 2,Hybrid,2023-01-30,28
CYB,Centro 2,Online,2023-01-30,27
GES,Centro 5,Hybrid,2023-01-30,26
SCI,Centro 2,In-person,2023-01-30,26
CYB,Centro 5,Online,2023-01-30,25
FOR,Centro 2,In-person,2023-01-30,25
EXC,Centro 2,Online,2023-01-30,23
PBI,Centro 3,Online,2023-01-30,23
PRI,Centro 3,Hybrid,2023-01-30,22
PBI,Centro 4,Hybrid,2023-01-30,20
LOG,Centro 1,Hybrid,2023-01-30,19
LOG,Centro 5,In-person,2023-01-30,19
MNT,Centro 4,In-person,2023-01-30,19
FOR,Centro 4,Online,2023-01-30,17
GER,Centro 2,In-person,2023-01-30,17
GER,Centro 4,In-person,2023-01-30,16
LOG,Centro 3,In-person,2023-01-30,15
SEG,Centro 3,In-person,2023-01-30,15
GER,Centro 3,In-person,2023-01-30,14
SCI,Centro 5,In-person,2023-01-30,14
VND,Centro 2,In-person,2023-01-30,14
GER,Centro 2,Hybrid,2023-01-30,13
GER,Centro 4,Hybrid,2023-01-30,13
VND,Centro 5,Hybrid,2023-01-30,13
MNT,Centro 2,In-person,2023-01-30,12
SCI,Centro 1,Hybrid,2023-01-30,12
EXC,Centro 4,Online,2023-01-30,11
INF,Centro 4,Hybrid,2023-01-30,11
VND,Centro 3,Hybrid,2023-01-30,11
HAC,Centro 3,In-person,2023-01-30,10
HOT,Centro 5,In-person,2023-01-30,10
LID,Centro 1,Hybrid,2023-01-30,9
LID,Centro 2,In-person,2023-01-30,9
LID,Centro 3,Online,2023-01-30,9
SST,Centro 5,Hybrid,2023-01-30,9
LID,Centro 3,In-person,2023-01-30,8
SST,Centro 1,In-person,2023-01-30,8
CYB,Centro 2,Hybrid,2023-01-30,7
EXC,Centro 2,In-person,2023-01-30,7
SEG,Centro 5,Online,2023-01-30,7
SST,Centro 4,Online,2023-01-30,7
SST,Centro 5,In-person,2023-01-30,7
FOR,Centro 3,Hybrid,2023-01-30,6
LID,Centro 4,Online,2023-01-30,6
LOG,Centro 4,In-person,2023-01-30,6
PYT,Centro 3,Hybrid,2023-01-30,6
TUR,Centro 2,Hybrid,2023-01-30,6
EMP,Centro 4,In-person,2023-01-30,5
GES,Centro 4,Hybrid,2023-01-30,5
HCP,Centro 3,In-person,2023-01-30,5
PBI,Centro 3,Hybrid,2023-01-30,5
PRI,Centro 1,In-person,2023-01-30,5
SEG,Centro 1,In-person,2023-01-30,5
TUR,Centro 5,In-person,2023-01-30,5
VND,Centro 1,Hybrid,2023-01-30,5
EMP,Centro 5,In-person,2023-01-30,4
HAC,Centro 4,In-person,2023-01-30,4
INF,Centro 5,In-person,2023-01-30,4
ING,Centro 2,Hybrid,2023-01-30,4
LID,Centro 4,Hybrid,2023-01-30,4
LID,Centro 5,Online,2023-01-30,4
PRI,Centro 3,In-person,2023-01-30,4
TUR,Centro 2,In-person,2023-01-30,4
EMP,Centro 1,In-person,2023-01-30,3
EMP,Centro 2,In-person,2023-01-30,3
FOR,Centro 5,Online,2023-01-30,3
HOT,Centro 5,Hybrid,2023-01-30,3
INF,Centro 3,In-person,2023-01-30,3
PRI,Centro 2,Hybrid,2023-01-30,3
PRO,Centro 2,Online,2023-01-30,3
PRO,Centro 4,In-person,2023-01-30,3
SST,Centro 4,Hybrid,2023-01-30,3
HOT,Centro 1,In-person,2023-01-30,2
ING,Centro 1,Online,2023-01-30,2
LOG,Centro 2,In-person,2023-01-30,2
LOG,Centro 3,Hybrid,2023-01-30,2
MNT,Centro 3,In-person,2023-01-30,2
SCI,Centro 2,Hybrid,2023-01-30,2
SST,Centro 2,Hybrid,2023-01-30,2
TUR,Centro 1,In-person,2023-01-30,2
FOR,Centro 1,Online,2023-01-30,1
FOR,Centro 1,In-person,2023-01-30,1
GES,Centro 3,Online,2023-01-30,1
HAC,Centro 1,In-person,2023-01-30,1
HAC,Centro 5,In-person,2023-01-30,1
LID,Centro 2,Online,2023-01-30,1
PBI,Centro 1,Hybrid,2023-01-30,1
PRI,Centro 5,Hybrid,2023-01-30,1
PRO,Centro 3,In-person,2023-01-30,1
PYT,Centro 1,Online,2023-01-30,1
PYT,Centro 4,In-person,2023-01-30,1
SEG,Centro 3,Online,2023-01-30,1
PBI,Centro 3,Online,2023-02-06,31
LID,Centro 4,Online,2023-02-06,27
HCP,Centro 3,In-person,2023-02-06,26
SEG,Centro 5,Online,2023-02-06,25
GER,Centro 3,In-person,2023-02-06,24
INF,Centro 2,Hybrid,2023-02-06,22
LOG,Centro 2,Hybrid,2023-02-06,21
GER,Centro 2,In-person,2023-02-06,19
SEG,Centro 2,Online,2023-02-06,19
VND,Centro 1,Online,2023-02-06,19
VND,Centro 4,Online,2023-02-06,19
EXC,Centro 1,Online,2023-02-06,18
FOR,Centro 4,Online,2023-02-06,18
LID,Centro 2,Hybrid,2023-02-06,17
PRI,Centro 4,In-person,2023-02-06,17
SOC,Centro 3,In-person,2023-02-06,16
CYB,Centro 4,Online,2023-02-06,15
INF,Centro 3,Hybrid,2023-02-06,15
PRO,Centro 2,Online,2023-02-06,15
LID,Centro 5,Online,2023-02-06,14
MNT,Centro 4,In-person,2023-02-06,14
PRO,Centro 2,Hybrid,2023-02-06,14
VND,Centro 5,In-person,2023-02-06,14
PBI,Centro 2,Hybrid,2023-02-06,13
PYT,Centro 1,Hybrid,2023-02-06,13
EXC,Centro 4,Online,2023-02-06,12
HAC,Centro 5,Hybrid,2023-02-06,12
SEG,Centro 4,In-person,2023-02-06,12
EMP,Centro 1,In-person,2023-02-06,11
FOR,Centro 1,Online,2023-02-06,11
GES,Centro 2,In-person,2023-02-06,11
PYT,Centro 3,Online,2023-02-06,10
SOC,Centro 5,Hybrid,2023-02-06,10
GER,Centro 2,Hybrid,2023-02-06,8
HAC,Centro 3,In-person,2023-02-06,8
HAC,Centro 4,In-person,2023-02-06,8
HOT,Centro 4,In-person,2023-02-06,8
ING,Centro 4,Online,2023-02-06,8
LOG,Centro 3,In-person,2023-02-06,8
PRI,Centro 5,Hybrid,2023-02-06,8
CYB,Centro 4,In-person,2023-02-06,7
EXC,Centro 3,Hybrid,2023-02-06,7
HAC,Centro 4,Online,2023-02-06,7
LID,Centro 2,In-person,2023-02-06,7
LOG,Centro 4,In-person,2023-02-06,7
PYT,Centro 1,Online,2023-02-06,7
SST,Centro 3,In-person,2023-02-06,7
SST,Centro 4,Online,2023-02-06,7
VND,Centro 3,Hybrid,2023-02-06,7
CYB,Centro 5,In-person,2023-02-06,6
GER,Centro 4,In-person,2023-02-06,6
GES,Centro 1,In-person,2023-02-06,6
HOT,Centro 5,Hybrid,2023-02-06,6
LID,Centro 4,In-person,2023-02-06,6
SCI,Centro 1,Hybrid,2023-02-06,6
SOC,Centro 1,In-person,2023-02-06,6
CYB,Centro 2,Hybrid,2023-02-06,5
EMP,Centro 2,In-person,2023-02-06,5
HAC,Centro 5,In-person,2023-02-06,5
HOT,Centro 5,In-person,2023-02-06,5
INF,Centro 4,In-person,2023-02-06,5
PRI,Centro 3,Hybrid,2023-02-06,5
INF,Centro 3,In-person,2023-02-06,4
LOG,Centro 5,In-person,2023-02-06,4
MNT,Centro 3,In-person,2023-02-06,4
PRO,Centro 4,In-person,2023-02-06,4
TUR,Centro 5,In-person,2023-02-06,4
EMP,Centro 3,In-person,2023-02-06,3
FOR,Centro 1,In-person,2023-02-06,3
FOR,Centro 5,Hybrid,2023-02-06,3
HAC,Centro 3,Online,2023-02-06,3
HCP,Centro 1,In-person,2023-02-06,3
HCP,Centro 4,In-person,2023-02-06,3
HCP,Centro 5,In-person,2023-02-06,3
ING,Centro 3,Online,2023-02-06,3
PRI,Centro 2,Hybrid,2023-02-06,3
SCI,Centro 1,In-person,2023-02-06,3
SCI,Centro 2,In-person,2023-02-06,3
VND,Centro 3,Online,2023-02-06,3
EXC,Centro 2,Hybrid,2023-02-06,2
GER,Centro 1,In-person,2023-02-06,2
HCP,Centro 1,Hybrid,2023-02-06,2
HCP,Centro 2,In-person,2023-02-06,2
LID,Centro 2,Online,2023-02-06,2
MNT,Centro 5,In-person,2023-02-06,2
PBI,Centro 4,Online,2023-02-06,2
PYT,Centro 4,Online,2023-02-06,2
PYT,Centro 4,In-person,2023-02-06,2
VND,Centro 1,In-person,2023-02-06,2
CYB,Centro 3,In-person,2023-02-06,1
EXC,Centro 2,Online,2023-02-06,1
EXC,Centro 3,In-person,2023-02-06,1
EXC,Centro 5,Online,2023-02-06,1
GES,Centro 3,Online,2023-02-06,1
ING,Centro 5,In-person,2023-02-06,1
LOG,Centro 1,In-person,2023-02-06,1
LOG,Centro 2,In-person,2023-02-06,1
PRO,Centro 3,In-person,2023-02-06,1
PYT,Centro 5,In-person,2023-02-06,1
SEG,Centro 1,In-person,2023-02-06,1
SEG,Centro 2,Hybrid,2023-02-06,1
SEG,Centro 3,In-person,2023-02-06,1
SEG,Centro 5,In-person,2023-02-06,1
SOC,Centro 4,Hybrid,2023-02-06,1
SST,Centro 1,In-person,2023-02-06,1
SST,Centro 5,Online,2023-02-06,1
TUR,Centro 1,In-person,2023-02-06,1
VND,Centro 1,Hybrid,2023-02-06,1
EXC,Centro 2,Online,2023-02-13,48
GES,Centro 4,Hybrid,2023-02-13,35
VND,Centro 1,In-person,2023-02-13,28
PBI,Centro 4,Hybrid,2023-02-13,27
PRO,Centro 4,Online,2023-02-13,27
SCI,Centro 5,Hybrid,2023-02-13,27
PRO,Centro 2,Online,2023-02-13,26
GER,Centro 1,In-person,2023-02-13,25
ING,Centro 1,Hybrid,2023-02-13,25
ING,Centro 4,Online,2023-02-13,25
EXC,Centro 2,Hybrid,2023-02-13,20
