action_id,course_id,local,start_date,end_date,modality,status,total_students
E_PBI_0007,PBI,Centro 1,2018-02-06,2018-02-15,Online,Cancelada,2
P_SCI_0004,SCI,Centro 3,2018-02-07,2018-02-09,In-person,Finalizada,16
E_LID_0004,LID,Centro 2,2018-02-07,2018-02-14,Online,Finalizada,28
E_LID_0005,LID,Centro 4,2018-02-07,2018-02-15,Online,Finalizada,22
E_PYT_0005,PYT,Centro 5,2018-02-07,2018-02-17,Online,Finalizada,33
P_FOR_0004,FOR,Centro 1,2018-02-07,2018-02-20,In-person,Finalizada,16
P_HCP_0003,HCP,Centro 1,2018-02-08,2018-02-09,In-person,Finalizada,16
P_HCP_0006,HCP,Centro 5,2018-02-12,2018-02-13,In-person,Finalizada,16
P_SCI_0003,SCI,Centro 1,2018-02-12,2018-02-13,In-person,Finalizada,13
P_SCI_0005,SCI,Centro 5,2018-02-12,2018-02-13,In-person,Finalizada,13
P_EXC_0006,EXC,Centro 3,2018-02-12,2018-02-14,In-person,Finalizada,13
H_PRI_0006,PRI,Centro 1,2018-02-12,2018-02-14,Hybrid,Finalizada,26
P_PRI_0005,PRI,Centro 1,2018-02-12,2018-02-14,In-person,Finalizada,21
P_SST_0005,SST,Centro 1,2018-02-12,2018-02-14,In-person,Cancelada,5
P_EMP_0003,EMP,Centro 1,2018-02-12,2018-02-15,In-person,Finalizada,14
P_EMP_0005,EMP,Centro 2,2018-02-12,2018-02-15,In-person,Finalizada,11
P_GES_0002,GES,Centro 2,2018-02-12,2018-02-15,In-person,Finalizada,13
P_LOG_0003,LOG,Centro 5,2018-02-12,2018-02-15,In-person,Finalizada,12
E_SEG_0010,SEG,Centro 4,2018-02-12,2018-02-15,Online,Finalizada,25
P_SST_0003,SST,Centro 1,2018-02-12,2018-02-15,In-person,Finalizada,13
P_SST_0007,SST,Centro 2,2018-02-12,2018-02-15,In-person,Finalizada,16
H_VND_0002,VND,Centro 1,2018-02-12,2018-02-15,Hybrid,Finalizada,19
H_CYB_0005,CYB,Centro 4,2018-02-12,2018-02-17,Hybrid,Finalizada,21
H_GER_0008,GER,Centro 5,2018-02-12,2018-02-21,Hybrid,Finalizada,17
E_PBI_0008,PBI,Centro 2,2018-02-12,2018-02-21,Online,Finalizada,28
E_PBI_0012,PBI,Centro 4,2018-02-12,2018-02-22,Online,Cancelada,1
E_PBI_0013,PBI,Centro 4,2018-02-12,2018-02-22,Online,Finalizada,22
E_PYT_0002,PYT,Centro 1,2018-02-12,2018-02-22,Online,Finalizada,29
P_HAC_0012,HAC,Centro 5,2018-02-13,2018-02-15,In-person,Finalizada,17
H_HAC_0011,HAC,Centro 5,2018-02-13,2018-02-16,Hybrid,Finalizada,25
H_ING_0003,ING,Centro 2,2018-02-13,2018-02-20,Hybrid,Finalizada,18
H_GER_0005,GER,Centro 3,2018-02-13,2018-02-24,Hybrid,Finalizada,19
H_SEG_0005,SEG,Centro 1,2018-02-14,2018-02-15,Hybrid,Finalizada,17
P_SEG_0008,SEG,Centro 3,2018-02-14,2018-02-15,In-person,Finalizada,16
H_SOC_0003,SOC,Centro 1,2018-02-14,2018-02-19,Hybrid,Finalizada,24
H_PBI_0010,PBI,Centro 2,2018-02-14,2018-02-20,Hybrid,Finalizada,23
H_HCP_0004,HCP,Centro 1,2018-02-19,2018-02-21,Hybrid,Finalizada,17
P_EMP_0004,EMP,Centro 2,2018-02-19,2018-02-22,In-person,Finalizada,20
H_LID_0007,LID,Centro 5,2018-02-19,2018-02-22,Hybrid,Finalizada,17
H_SST_0006,SST,Centro 1,2018-02-19,2018-02-22,Hybrid,Finalizada,26
P_TUR_0005,TUR,Centro 2,2018-02-19,2018-02-22,In-person,Finalizada,19
H_PBI_0006,PBI,Centro 1,2018-02-19,2018-02-23,Hybrid,Finalizada,22
H_PRO_0004,PRO,Centro 1,2018-02-19,2018-02-23,Hybrid,Finalizada,15
H_SOC_0004,SOC,Centro 2,2018-02-19,2018-02-23,Hybrid,Finalizada,22
H_CYB_0004,CYB,Centro 2,2018-02-19,2018-02-24,Hybrid,Finalizada,16
H_ING_0005,ING,Centro 5,2018-02-19,2018-02-24,Hybrid,Finalizada,21
H_PRO_0005,PRO,Centro 4,2018-02-19,2018-02-24,Hybrid,Finalizada,21
E_CYB_0002,CYB,Centro 2,2018-02-19,2018-02-25,Online,Finalizada,21
E_GES_0003,GES,Centro 5,2018-02-19,2018-02-26,Online,Finalizada,27
H_PYT_0003,PYT,Centro 2,2018-02-19,2018-02-26,Hybrid,Finalizada,25
E_EXC_0008,EXC,Centro 4,2018-02-19,2018-02-28,Online,Finalizada,30
H_SOC_0005,SOC,Centro 3,2018-02-20,2018-02-24,Hybrid,Finalizada,19
E_PBI_0009,PBI,Centro 2,2018-02-20,2018-03-02,Online,Finalizada,23
P_EMP_0007,EMP,Centro 3,2018-02-21,2018-02-24,In-person,Finalizada,14
H_SEG_0007,SEG,Centro 3,2018-02-21,2018-02-24,Hybrid,Finalizada,23
H_SST_0004,SST,Centro 1,2018-02-21,2018-02-24,Hybrid,Finalizada,18
P_HCP_0007,HCP,Centro 5,2018-02-22,2018-02-23,In-person,Finalizada,17
P_MNT_0002,MNT,Centro 1,2018-02-22,2018-02-25,In-person,Finalizada,18
P_PRI_0007,PRI,Centro 3,2018-02-26,2018-02-27,In-person,Finalizada,20
H_SEG_0011,SEG,Centro 5,2018-02-26,2018-02-27,Hybrid,Finalizada,24
H_HAC_0009,HAC,Centro 4,2018-02-26,2018-03-01,Hybrid,Finalizada,14
P_HOT_0003,HOT,Centro 1,2018-02-26,2018-03-01,In-person,Finalizada,16
P_INF_0006,INF,Centro 2,2018-02-26,2018-03-01,In-person,Finalizada,20
P_PYT_0006,PYT,Centro 5,2018-02-26,2018-03-02,In-person,Finalizada,23
H_PRO_0006,PRO,Centro 5,2018-02-26,2018-03-03,Hybrid,Finalizada,12
E_CYB_0003,CYB,Centro 2,2018-02-26,2018-03-05,Online,Finalizada,19
E_PRO_0003,PRO,Centro 1,2018-02-26,2018-03-07,Online,Finalizada,29
H_FOR_0005,FOR,Centro 4,2018-02-26,2018-03-17,Hybrid,Finalizada,21
E_PBI_0011,PBI,Centro 3,2018-02-27,2018-03-08,Online,Finalizada,19
P_HAC_0008,HAC,Centro 1,2018-02-28,2018-03-02,In-person,Cancelada,5
P_GER_0007,GER,Centro 5,2018-02-28,2018-03-07,In-person,Finalizada,18
P_FOR_0006,FOR,Centro 4,2018-02-28,2018-03-13,In-person,Finalizada,17
H_SCI_0006,SCI,Centro 2,2018-03-05,2018-03-06,Hybrid,Finalizada,17
H_SCI_0009,SCI,Centro 4,2018-03-05,2018-03-06,Hybrid,Finalizada,23
P_LID_0009,LID,Centro 2,2018-03-05,2018-03-07,In-person,Finalizada,14
P_LOG_0008,LOG,Centro 5,2018-03-05,2018-03-07,In-person,Finalizada,16
P_SOC_0008,SOC,Centro 3,2018-03-05,2018-03-07,In-person,Cancelada,7
P_SST_0009,SST,Centro 3,2018-03-05,2018-03-07,In-person,Finalizada,14
H_CYB_0007,CYB,Centro 3,2018-03-05,2018-03-08,Hybrid,Finalizada,24
P_LID_0010,LID,Centro 2,2018-03-05,2018-03-08,In-person,Finalizada,20
P_PBI_0018,PBI,Centro 4,2018-03-05,2018-03-08,In-person,Finalizada,13
P_PRO_0012,PRO,Centro 5,2018-03-05,2018-03-08,In-person,Finalizada,14
P_SOC_0009,SOC,Centro 5,2018-03-05,2018-03-08,In-person,Finalizada,15
P_SOC_0010,SOC,Centro 5,2018-03-05,2018-03-08,In-person,Finalizada,14
H_ING_0006,ING,Centro 4,2018-03-05,2018-03-12,Hybrid,Finalizada,20
E_LID_0011,LID,Centro 4,2018-03-05,2018-03-12,Online,Finalizada,33
P_GER_0011,GER,Centro 1,2018-03-05,2018-03-13,In-person,Finalizada,26
P_GER_0012,GER,Centro 1,2018-03-05,2018-03-13,In-person,Finalizada,17
E_PRO_0010,PRO,Centro 3,2018-03-05,2018-03-14,Online,Finalizada,28
E_FOR_0011,FOR,Centro 3,2018-03-05,2018-04-05,Online,Finalizada,26
P_PRI_0010,PRI,Centro 5,2018-03-07,2018-03-08,In-person,Finalizada,16
P_EXC_0010,EXC,Centro 1,2018-03-07,2018-03-10,In-person,Finalizada,17
H_GES_0007,GES,Centro 4,2018-03-07,2018-03-10,Hybrid,Finalizada,22
P_INF_0010,INF,Centro 3,2018-03-07,2018-03-10,In-person,Finalizada,15
P_MNT_0005,MNT,Centro 1,2018-03-07,2018-03-10,In-person,Cancelada,0
P_PBI_0020,PBI,Centro 4,2018-03-07,2018-03-11,In-person,Finalizada,8
H_LOG_0004,LOG,Centro 1,2018-03-07,2018-03-12,Hybrid,Finalizada,17
H_GER_0019,GER,Centro 4,2018-03-07,2018-03-16,Hybrid,Finalizada,16
P_FOR_0008,FOR,Centro 1,2018-03-07,2018-03-19,In-person,Finalizada,18
H_FOR_0015,FOR,Centro 5,2018-03-07,2018-03-26,Hybrid,Finalizada,28
H_SCI_0007,SCI,Centro 3,2018-03-08,2018-03-10,Hybrid,Finalizada,18
P_GER_0010,GER,Centro 1,2018-03-08,2018-03-15,In-person,Finalizada,19
H_FOR_0009,FOR,Centro 2,2018-03-08,2018-03-27,Hybrid,Finalizada,16
P_HCP_0011,HCP,Centro 3,2018-03-12,2018-03-13,In-person,Finalizada,16
P_HCP_0013,HCP,Centro 5,2018-03-12,2018-03-13,In-person,Finalizada,19
P_GES_0004,GES,Centro 2,2018-03-12,2018-03-14,In-person,Finalizada,19
E_HAC_0013,HAC,Centro 1,2018-03-12,2018-03-15,Online,Finalizada,20
P_LOG_0006,LOG,Centro 3,2018-03-12,2018-03-15,In-person,Finalizada,11
H_EXC_0016,EXC,Centro 5,2018-03-12,2018-03-16,Hybrid,Finalizada,19
P_PRO_0009,PRO,Centro 2,2018-03-12,2018-03-16,In-person,Finalizada,18
H_EXC_0012,EXC,Centro 2,2018-03-12,2018-03-17,Hybrid,Finalizada,22
H_GES_0006,GES,Centro 3,2018-03-12,2018-03-17,Hybrid,Finalizada,13
P_ING_0007,ING,Centro 5,2018-03-12,2018-03-17,In-person,Finalizada,20
H_LID_0013,LID,Centro 5,2018-03-12,2018-03-17,Hybrid,Finalizada,27
E_CYB_0008,CYB,Centro 5,2018-03-12,2018-03-18,Online,Finalizada,31
E_SST_0008,SST,Centro 1,2018-03-12,2018-03-18,Online,Finalizada,29
P_GER_0009,GER,Centro 1,2018-03-12,2018-03-20,In-person,Finalizada,16
P_GER_0014,GER,Centro 2,2018-03-12,2018-03-20,In-person,Finalizada,12
H_GER_0018,GER,Centro 4,2018-03-12,2018-03-23,Hybrid,Finalizada,23
P_FOR_0012,FOR,Centro 3,2018-03-12,2018-03-25,In-person,Finalizada,13
H_FOR_0016,FOR,Centro 5,2018-03-12,2018-03-30,Hybrid,Finalizada,23
E_FOR_0013,FOR,Centro 4,2018-03-12,2018-04-13,Online,Finalizada,21
P_EXC_0013,EXC,Centro 3,2018-03-13,2018-03-15,In-person,Finalizada,17
H_HCP_0009,HCP,Centro 2,2018-03-13,2018-03-15,Hybrid,Finalizada,12
P_TUR_0007,TUR,Centro 4,2018-03-13,2018-03-15,In-person,Finalizada,12
P_MNT_0004,MNT,Centro 1,2018-03-13,2018-03-16,In-person,Finalizada,19
H_PYT_0010,PYT,Centro 4,2018-03-13,2018-03-18,Hybrid,Finalizada,26
P_GER_0023,GER,Centro 5,2018-03-13,2018-03-20,In-person,Finalizada,15
E_VND_0004,VND,Centro 4,2018-03-13,2018-03-20,Online,Finalizada,21
E_PBI_0016,PBI,Centro 3,2018-03-13,2018-03-22,Online,Finalizada,24
H_GER_0013,GER,Centro 2,2018-03-13,2018-03-24,Hybrid,Finalizada,22
H_SEG_0014,SEG,Centro 3,2018-03-14,2018-03-15,Hybrid,Finalizada,27
P_EXC_0015,EXC,Centro 4,2018-03-14,2018-03-17,In-person,Finalizada,15
P_LOG_0005,LOG,Centro 1,2018-03-14,2018-03-17,In-person,Finalizada,21
P_SOC_0007,SOC,Centro 2,2018-03-14,2018-03-17,In-person,Finalizada,19
P_GER_0017,GER,Centro 3,2018-03-14,2018-03-22,In-person,Finalizada,21
P_SEG_0015,SEG,Centro 3,2018-03-15,2018-03-16,In-person,Finalizada,17
P_HCP_0010,HCP,Centro 2,2018-03-19,2018-03-21,In-person,Finalizada,21
H_SCI_0008,SCI,Centro 4,2018-03-19,2018-03-21,Hybrid,Finalizada,23
H_SEG_0013,SEG,Centro 1,2018-03-19,2018-03-21,Hybrid,Finalizada,23
E_HAC_0014,HAC,Centro 4,2018-03-19,2018-03-22,Online,Finalizada,24
P_INF_0008,INF,Centro 1,2018-03-19,2018-03-22,In-person,Finalizada,17
P_MNT_0006,MNT,Centro 1,2018-03-19,2018-03-22,In-person,Finalizada,14
H_PBI_0019,PBI,Centro 4,2018-03-19,2018-03-24,Hybrid,Finalizada,24
H_TUR_0006,TUR,Centro 2,2018-03-19,2018-03-24,Hybrid,Finalizada,26
H_VND_0003,VND,Centro 3,2018-03-19,2018-03-24,Hybrid,Finalizada,21
E_LID_0012,LID,Centro 5,2018-03-19,2018-03-25,Online,Finalizada,24
P_GER_0015,GER,Centro 3,2018-03-19,2018-03-27,In-person,Finalizada,25
E_EXC_0011,EXC,Centro 2,2018-03-19,2018-03-28,Online,Finalizada,30
E_PRO_0008,PRO,Centro 2,2018-03-19,2018-03-30,Online,Finalizada,35
E_PYT_0009,PYT,Centro 3,2018-03-19,2018-03-31,Online,Finalizada,34
P_GER_0016,GER,Centro 3,2018-03-20,2018-03-28,In-person,Finalizada,16
E_ING_0008,ING,Centro 5,2018-03-20,2018-03-31,Online,Finalizada,20
E_PYT_0008,PYT,Centro 2,2018-03-20,2018-03-31,Online,Finalizada,24
P_FOR_0010,FOR,Centro 3,2018-03-20,2018-04-01,In-person,Finalizada,18
E_PYT_0007,PYT,Centro 1,2018-03-20,2018-04-01,Online,Finalizada,21
P_EMP_0010,EMP,Centro 5,2018-03-21,2018-03-24,In-person,Finalizada,18
H_INF_0009,INF,Centro 2,2018-03-21,2018-03-26,Hybrid,Finalizada,22
H_SEG_0012,SEG,Centro 1,2018-03-22,2018-03-24,Hybrid,Finalizada,22
P_PBI_0017,PBI,Centro 3,2018-03-22,2018-03-26,In-person,Finalizada,18
E_CYB_0006,CYB,Centro 2,2018-03-22,2018-03-28,Online,Finalizada,18
H_HCP_0012,HCP,Centro 5,2018-03-26,2018-03-28,Hybrid,Finalizada,25
P_GES_0005,GES,Centro 2,2018-03-26,2018-03-29,In-person,Finalizada,15
P_MNT_0007,MNT,Centro 1,2018-03-26,2018-03-29,In-person,Finalizada,8
H_INF_0011,INF,Centro 5,2018-03-26,2018-03-30,Hybrid,Finalizada,19
H_PRO_0011,PRO,Centro 5,2018-03-26,2018-03-30,Hybrid,Finalizada,13
H_SST_0010,SST,Centro 3,2018-03-26,2018-03-31,Hybrid,Finalizada,17
H_PBI_0015,PBI,Centro 3,2018-03-26,2018-04-01,Hybrid,Finalizada,22
E_EXC_0014,EXC,Centro 4,2018-03-26,2018-04-04,Online,Finalizada,26
E_PRO_0007,PRO,Centro 1,2018-03-26,2018-04-05,Online,Finalizada,22
H_GER_0021,GER,Centro 4,2018-03-26,2018-04-06,Hybrid,Finalizada,23
E_PBI_0014,PBI,Centro 1,2018-03-26,2018-04-06,Online,Finalizada,23
E_FOR_0007,FOR,Centro 1,2018-03-26,2018-04-26,Online,Finalizada,25
P_PRI_0009,PRI,Centro 1,2018-03-27,2018-03-28,In-person,Finalizada,18
H_LOG_0007,LOG,Centro 5,2018-03-27,2018-03-30,Hybrid,Finalizada,15
H_HOT_0007,HOT,Centro 1,2018-03-27,2018-04-01,Hybrid,Finalizada,19
E_LID_0008,LID,Centro 1,2018-03-27,2018-04-03,Online,Finalizada,23
H_GER_0022,GER,Centro 5,2018-03-27,2018-04-05,Hybrid,Finalizada,17
E_FOR_0014,FOR,Centro 4,2018-03-27,2018-04-26,Online,Finalizada,27
P_SEG_0016,SEG,Centro 5,2018-03-28,2018-03-30,In-person,Finalizada,17
P_EMP_0009,EMP,Centro 2,2018-03-28,2018-03-31,In-person,Finalizada,18
H_PBI_0021,PBI,Centro 4,2018-03-28,2018-04-02,Hybrid,Finalizada,18
P_GER_0020,GER,Centro 4,2018-03-28,2018-04-05,In-person,Finalizada,15
P_HCP_0016,HCP,Centro 3,2018-04-02,2018-04-03,In-person,Finalizada,17
H_SCI_0013,SCI,Centro 5,2018-04-02,2018-04-03,Hybrid,Finalizada,21
P_LOG_0009,LOG,Centro 3,2018-04-02,2018-04-04,In-person,Finalizada,8
P_HOT_0011,HOT,Centro 5,2018-04-02,2018-04-05,In-person,Finalizada,24
H_LOG_0011,LOG,Centro 5,2018-04-02,2018-04-06,Hybrid,Finalizada,25
P_MNT_0009,MNT,Centro 3,2018-04-02,2018-04-06,In-person,Finalizada,17
H_SST_0017,SST,Centro 3,2018-04-02,2018-04-06,Hybrid,Finalizada,17
H_VND_0007,VND,Centro 4,2018-04-02,2018-04-06,Hybrid,Finalizada,25
H_HOT_0008,HOT,Centro 1,2018-04-02,2018-04-07,Hybrid,Cancelada,6
P_GER_0029,GER,Centro 5,2018-04-02,2018-04-10,In-person,Finalizada,21
E_ING_0010,ING,Centro 1,2018-04-02,2018-04-12,Online,Finalizada,26
P_FOR_0019,FOR,Centro 3,2018-04-02,2018-04-15,In-person,Finalizada,18
P_SEG_0020,SEG,Centro 4,2018-04-03,2018-04-04,In-person,Finalizada,12
P_SEG_0021,SEG,Centro 4,2018-04-03,2018-04-04,In-person,Finalizada,15
P_TUR_0011,TUR,Centro 4,2018-04-03,2018-04-05,In-person,Finalizada,18
P_LID_0017,LID,Centro 5,2018-04-03,2018-04-06,In-person,Finalizada,20
H_INF_0014,INF,Centro 3,2018-04-03,2018-04-07,Hybrid,Finalizada,23
P_PBI_0024,PBI,Centro 5,2018-04-03,2018-04-07,In-person,Finalizada,10
H_PRI_0016,PRI,Centro 4,2018-04-03,2018-04-07,Hybrid,Finalizada,14
P_ING_0009,ING,Centro 1,2018-04-03,2018-04-08,In-person,Finalizada,24
H_LOG_0010,LOG,Centro 4,2018-04-03,2018-04-08,Hybrid,Finalizada,14
E_LID_0016,LID,Centro 5,2018-04-03,2018-04-09,Online,Finalizada,19
P_GER_0028,GER,Centro 5,2018-04-03,2018-04-11,In-person,Finalizada,20
P_PRI_0017,PRI,Centro 5,2018-04-09,2018-04-10,In-person,Finalizada,16
P_EMP_0011,EMP,Centro 5,2018-04-09,2018-04-11,In-person,Finalizada,15
P_HCP_0017,HCP,Centro 3,2018-04-09,2018-04-11,In-person,Cancelada,2
P_SEG_0023,SEG,Centro 5,2018-04-09,2018-04-11,In-person,Finalizada,23
P_CYB_0011,CYB,Centro 4,2018-04-09,2018-04-12,In-person,Finalizada,18
P_EXC_0018,EXC,Centro 3,2018-04-09,2018-04-12,In-person,Finalizada,29
H_SCI_0010,SCI,Centro 1,2018-04-09,2018-04-12,Hybrid,Finalizada,19
H_SEG_0017,SEG,Centro 1,2018-04-09,2018-04-12,Hybrid,Finalizada,26
H_VND_0005,VND,Centro 2,2018-04-09,2018-04-12,Hybrid,Finalizada,21
P_VND_0009,VND,Centro 4,2018-04-09,2018-04-12,In-person,Finalizada,9
H_GES_0009,GES,Centro 4,2018-04-09,2018-04-13,Hybrid,Finalizada,16
E_VND_0008,VND,Centro 4,2018-04-09,2018-04-15,Online,Finalizada,24
E_VND_0010,VND,Centro 4,2018-04-09,2018-04-15,Online,Finalizada,28
E_CYB_0009,CYB,Centro 2,2018-04-09,2018-04-16,Online,Finalizada,23
P_GER_0025,GER,Centro 4,2018-04-09,2018-04-16,In-person,Finalizada,16
E_VND_0011,VND,Centro 5,2018-04-09,2018-04-16,Online,Finalizada,25
E_EXC_0019,EXC,Centro 3,2018-04-09,2018-04-17,Online,Finalizada,20
