course_id,course_name,course_area,local,actions_monthly_avg_last_12m,actions_monthly_avg_historical,training_hours_monthly_avg_last_12m,training_hours_monthly_avg_historical,actions_monthly_trend_last_12m,actions_monthly_trend_historical,median_days_between_actions_last_12m,median_days_between_actions_historical,active_month_ratio_last_12m,active_month_ratio_historical,peak_concurrent_actions_last_12m,peak_concurrent_actions_historical,active_action_days_last_12m,active_action_days_historical,simultaneous_action_days_last_12m,simultaneous_action_days_historical,pct_simultaneous_action_days_last_12m,pct_simultaneous_action_days_historical,actions_volume_last_12m_score,actions_volume_historical_score,actions_growth_last_12m_score,actions_growth_historical_score,actions_recurrence_last_12m_score,actions_recurrence_historical_score,actions_regularity_last_12m_score,actions_regularity_historical_score,actions_simultaneity_last_12m_score,actions_simultaneity_historical_score,actions_last_12m_score,actions_historical_score,actions_volume_score,actions_growth_score,actions_recurrence_score,actions_regularity_score,actions_simultaneity_score,actions_volume_contribution,actions_growth_contribution,actions_recurrence_contribution,actions_regularity_contribution,actions_simultaneity_contribution,actions_base_score,actions_pressure_tier,actions_main_pressure_driver,actions_priority_rank
PYT,Introdução à Programação em Python,Informática,Centro 1,3.0,1.19,90.0,35.67,0.29,0.02,7.0,19.0,1.0,0.68,4,5,217,764,93,150,42.9,19.6,86.46,67.71,95.42,71.25,82.08,48.33,91.25,61.25,83.12,87.92,87.27,69.09,78.96,85.75,68.58,79.25,85.04,19.74,12.86,10.29,15.85,21.26,80.0,High,Simultaneity,11
PBI,Power BI e Visualização de Dados,Informática,Centro 1,2.92,1.52,72.92,38.06,0.18,0.03,10.0,13.5,1.0,0.76,3,4,217,838,86,187,39.6,22.3,82.29,82.08,79.17,92.5,52.5,82.92,91.25,85.0,66.46,80.62,75.19,83.99,82.21,84.5,64.67,88.75,72.12,20.55,12.68,9.7,17.75,18.03,78.71,High,Volume,12
PRI,Primeiros Socorros,Saúde e Segurança,Centro 3,3.17,2.04,38.0,24.53,0.34,0.02,6.0,11.0,1.0,0.82,3,3,86,467,21,75,24.4,16.1,69.38,79.17,97.92,71.25,97.5,97.5,91.25,95.0,54.79,54.17,78.6,77.65,73.29,87.25,97.5,92.75,54.54,18.32,13.09,14.62,18.55,13.64,78.22,High,Regularity,13
SST,Saúde e Segurança no Trabalho,Segurança,Centro 1,3.0,2.02,48.0,32.36,0.2,0.02,7.0,13.0,0.92,0.88,3,5,145,724,34,115,23.4,15.9,74.38,85.83,85.42,71.25,82.08,87.08,71.67,98.33,53.12,79.38,71.33,84.72,78.96,79.75,84.08,82.33,63.62,19.74,11.96,12.61,16.47,15.91,76.69,High,Volume,14
EXC,Excel Aplicado à Gestão,Informática,Centro 2,3.58,1.82,71.67,36.44,-0.15,0.03,7.0,13.0,0.92,0.79,5,4,165,835,55,185,33.3,22.2,86.67,86.25,0.0,92.5,82.08,87.08,71.67,89.58,85.83,80.21,69.77,86.47,86.5,37.0,84.08,78.83,83.58,21.62,5.55,12.61,15.77,20.9,76.45,High,Volume,15
CYB,Cibersegurança Básica,Informática,Centro 3,3.58,1.42,57.33,22.76,0.18,0.02,7.0,14.0,1.0,0.7,5,3,179,648,60,94,33.5,14.5,81.67,66.25,79.17,71.25,82.08,73.75,91.25,67.5,86.46,48.12,84.47,63.84,75.5,76.0,78.75,81.75,71.12,18.88,11.4,11.81,16.35,17.78,76.22,High,Volume,16
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 4,2.5,1.38,125.0,68.89,0.17,0.01,8.5,14.0,1.0,0.68,5,4,182,914,65,228,35.7,24.9,79.58,82.92,76.25,30.42,62.92,73.75,91.25,61.25,87.29,82.29,80.84,69.18,80.92,57.92,67.25,79.25,85.29,20.23,8.69,10.09,15.85,21.32,76.18,High,Simultaneity,17
SEG,Segurança no Trabalho,Segurança,Centro 5,3.67,2.21,29.33,17.69,0.47,0.01,7.0,12.0,1.0,0.9,3,4,102,510,25,85,24.5,16.7,63.54,68.33,100.0,30.42,82.08,93.33,91.25,100.0,55.42,73.96,75.3,74.14,65.46,72.17,86.58,94.75,62.83,16.36,10.82,12.99,18.95,15.71,74.84,Upper-middle,Regularity,18
MNT,Manutenção Industrial Básica,Manutenção,Centro 1,3.83,1.62,95.83,40.56,-0.12,0.02,7.0,13.0,1.0,0.73,3,4,137,531,52,104,38.0,19.6,92.29,86.67,0.0,71.25,82.08,87.08,91.25,79.58,65.21,78.75,69.94,81.02,90.04,28.5,84.08,86.58,70.62,22.51,4.27,12.61,17.32,17.66,74.37,Upper-middle,Volume,19
MNT,Manutenção Industrial Básica,Manutenção,Centro 5,2.75,1.53,68.75,38.33,0.19,0.03,9.0,12.0,0.92,0.69,3,4,108,553,30,66,27.8,11.9,78.33,83.12,82.08,92.5,57.92,93.33,71.67,64.58,60.62,57.29,70.07,75.9,80.25,86.25,72.08,68.83,59.29,20.06,12.94,10.81,13.77,14.82,72.4,Upper-middle,Volume,20
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 3,2.5,1.16,225.0,104.0,0.12,0.0,12.0,15.0,1.0,0.66,5,5,349,1364,190,507,54.4,37.2,82.5,73.96,59.58,0.0,43.75,63.33,91.25,50.0,96.04,96.04,78.39,62.0,79.08,35.75,51.58,74.75,96.04,19.77,5.36,7.74,14.95,24.01,71.83,Upper-middle,Simultaneity,21
SCI,Segurança Contra Incêndios,Segurança,Centro 1,3.83,1.56,30.67,12.44,0.24,0.02,7.0,14.0,1.0,0.77,4,3,95,317,20,51,21.1,16.1,65.62,48.33,90.83,71.25,82.08,73.75,91.25,85.83,63.12,54.17,76.38,64.54,58.71,83.0,78.75,89.08,59.54,14.68,12.45,11.81,17.82,14.89,71.64,Upper-middle,Regularity,22
CYB,Cibersegurança Básica,Informática,Centro 5,2.67,1.26,42.67,20.09,0.24,0.03,9.0,14.0,0.83,0.67,5,5,117,558,48,98,41.0,17.6,66.67,56.04,90.83,92.5,57.92,73.75,47.08,55.42,90.21,85.21,70.95,71.33,62.42,91.5,64.25,50.42,88.21,15.6,13.72,9.64,10.08,22.05,71.1,Upper-middle,Simultaneity,23
LOG,Logística e Gestão de Armazém,Logística,Centro 5,3.17,1.6,50.67,25.6,0.2,0.01,7.0,14.0,1.0,0.78,3,3,119,486,24,75,20.2,15.4,77.71,74.58,85.42,30.42,82.08,73.75,91.25,87.08,46.04,51.46,74.31,64.55,76.46,63.42,78.75,89.58,48.21,19.11,9.51,11.81,17.92,12.05,70.41,Upper-middle,Volume,24
LOG,Logística e Gestão de Armazém,Logística,Centro 1,3.5,1.7,56.0,27.2,0.08,0.02,7.0,13.0,0.92,0.71,3,3,135,512,34,88,25.2,17.2,80.42,79.58,46.25,71.25,82.08,87.08,71.67,70.42,57.08,57.92,67.96,72.21,80.08,56.25,84.08,71.17,57.42,20.02,8.44,12.61,14.23,14.35,69.66,Upper-middle,Volume,25
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 5,3.33,1.74,26.67,13.96,0.29,0.02,7.0,13.0,0.92,0.74,3,3,92,419,23,59,25.0,14.1,57.71,57.5,95.42,71.25,82.08,87.08,71.67,82.92,56.25,46.88,69.45,66.43,57.62,85.75,84.08,76.17,52.5,14.41,12.86,12.61,15.23,13.12,68.24,Upper-middle,Regularity,26
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 2,2.58,1.0,232.5,90.0,0.05,0.02,12.0,21.0,0.92,0.62,5,4,341,1258,245,445,71.8,35.4,84.58,64.17,37.08,71.25,43.75,31.25,71.67,37.5,96.88,86.46,71.82,60.53,76.42,50.75,38.75,58.0,92.71,19.1,7.61,5.81,11.6,23.18,67.31,Upper-middle,Simultaneity,27
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 5,2.42,1.3,120.83,65.0,0.17,0.01,10.0,15.5,0.75,0.72,5,5,178,863,60,167,33.7,19.4,77.71,79.58,76.25,30.42,52.5,59.58,24.17,74.58,86.88,87.29,65.29,70.14,78.46,57.92,55.33,44.33,87.04,19.61,8.69,8.3,8.87,21.76,67.23,Upper-middle,Simultaneity,28
PRI,Primeiros Socorros,Saúde e Segurança,Centro 1,3.08,1.92,37.0,23.07,0.07,0.02,7.0,13.0,1.0,0.79,2,3,93,447,15,77,16.1,17.2,66.25,75.0,42.5,71.25,82.08,87.08,91.25,89.58,25.83,57.92,59.96,74.9,69.75,54.0,84.08,90.58,38.67,17.44,8.1,12.61,18.12,9.67,65.93,Upper-middle,Regularity,29
VND,Vendas e Negociação,Comercial,Centro 2,2.67,1.48,42.67,23.64,0.18,0.02,10.5,14.0,0.83,0.73,3,4,119,654,35,99,29.4,15.1,66.67,69.58,79.17,71.25,49.17,73.75,47.08,79.58,61.04,67.5,60.59,71.94,67.83,76.0,59.0,60.08,63.62,16.96,11.4,8.85,12.02,15.91,65.13,Upper-middle,Volume,30
PBI,Power BI e Visualização de Dados,Informática,Centro 5,2.58,1.07,64.58,26.67,0.25,0.02,7.0,16.0,0.83,0.59,3,4,161,625,48,106,29.8,17.0,73.33,53.54,92.5,71.25,82.08,56.25,47.08,28.75,62.29,74.38,69.51,56.85,65.42,84.0,71.75,39.75,67.12,16.35,12.6,10.76,7.95,16.78,64.45,Upper-middle,Simultaneity,31
LID,Liderança e Comunicação,Gestão,Centro 2,2.58,1.63,41.33,26.13,0.16,0.01,8.0,14.0,0.83,0.81,3,3,120,652,31,107,25.8,16.4,62.92,76.67,72.92,30.42,68.75,73.75,47.08,93.75,58.96,55.42,61.14,67.4,68.42,55.92,70.75,65.75,57.54,17.1,8.39,10.61,13.15,14.39,63.64,Upper-middle,Volume,32
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 1,2.75,1.02,137.5,51.11,0.08,0.01,7.0,27.0,0.83,0.67,4,4,199,727,81,126,40.7,17.3,85.42,61.25,46.25,30.42,82.08,16.67,47.08,55.42,81.88,75.62,70.49,52.36,75.75,39.92,55.92,50.42,79.38,18.94,5.99,8.39,10.08,19.84,63.24,Upper-middle,Simultaneity,33
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 3,2.83,1.68,45.33,26.84,0.14,0.02,14.0,14.0,1.0,0.78,2,3,119,535,26,70,21.8,13.1,71.04,78.75,65.0,71.25,27.08,73.75,91.25,87.08,34.17,43.75,58.36,69.79,74.12,67.5,45.75,89.58,38.0,18.53,10.12,6.86,17.92,9.5,62.94,Upper-middle,Volume,34
SEG,Segurança no Trabalho,Segurança,Centro 1,2.83,2.08,22.67,16.62,-0.01,0.03,6.0,12.0,0.92,0.87,3,3,88,535,18,79,20.5,14.8,50.83,64.58,0.0,92.5,97.5,93.33,71.67,97.5,46.88,49.79,53.39,75.97,56.33,37.0,95.83,82.0,48.04,14.08,5.55,14.38,16.4,12.01,62.42,Upper-middle,Regularity,35
ING,Inglês Profissional,Línguas,Centro 2,2.58,1.03,77.5,31.0,0.23,0.01,13.0,19.0,0.92,0.53,3,4,155,657,73,159,47.1,24.2,77.92,54.38,88.75,30.42,37.08,48.33,71.67,13.75,71.46,81.88,70.55,48.62,68.5,65.42,41.58,48.5,75.62,17.12,9.81,6.24,9.7,18.91,61.78,Upper-middle,Simultaneity,36
SST,Saúde e Segurança no Trabalho,Segurança,Centro 4,2.33,1.26,37.33,20.09,0.15,0.02,8.5,14.0,0.92,0.62,4,4,123,451,23,61,18.7,13.5,54.58,56.04,69.17,71.25,62.92,73.75,71.67,37.5,59.79,62.29,62.74,58.83,55.17,70.0,67.25,58.0,60.79,13.79,10.5,10.09,11.6,15.2,61.18,Upper-middle,Simultaneity,37
VND,Vendas e Negociação,Comercial,Centro 4,2.75,1.33,44.0,21.33,0.06,0.02,8.0,15.0,0.92,0.64,3,4,146,540,31,87,21.2,16.1,68.75,63.12,40.42,71.25,68.75,63.33,71.67,44.58,48.96,71.25,60.14,62.7,66.5,52.75,66.58,60.83,57.88,16.62,7.91,9.99,12.17,14.47,61.16,Upper-middle,Volume,38
PRO,Gestão de Projetos,Gestão,Centro 2,2.67,1.09,66.67,27.22,0.05,0.02,7.0,14.0,0.75,0.58,5,3,142,583,62,92,43.7,15.8,76.25,56.67,37.08,71.25,82.08,73.75,24.17,25.83,92.29,52.71,64.84,54.26,68.42,50.75,78.75,24.83,76.46,17.1,7.61,11.81,4.97,19.11,60.61,Upper-middle,Simultaneity,39
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 5,1.58,0.99,142.5,89.0,0.21,0.01,15.0,22.0,0.83,0.66,4,5,265,1495,138,454,52.1,30.4,60.21,62.71,87.5,30.42,18.33,25.42,47.08,50.0,87.29,93.54,62.17,57.44,61.21,64.67,21.17,48.25,89.79,15.3,9.7,3.17,9.65,22.45,60.28,Upper-middle,Simultaneity,40
EXC,Excel Aplicado à Gestão,Informática,Centro 1,2.92,1.19,58.33,23.78,0.02,0.02,7.0,20.0,0.83,0.67,3,3,140,605,63,88,45.0,14.5,77.71,57.71,26.67,71.25,82.08,40.0,47.08,55.42,71.04,48.12,62.92,54.23,69.71,44.5,65.25,50.42,61.87,17.43,6.68,9.79,10.08,15.47,59.44,Upper-middle,Volume,41
EXC,Excel Aplicado à Gestão,Informática,Centro 5,2.25,1.39,45.0,27.78,-0.12,0.02,8.0,15.5,0.92,0.72,3,4,134,631,29,105,21.6,16.6,58.33,73.12,0.0,71.25,68.75,59.58,71.67,74.58,49.38,73.54,51.57,71.21,64.25,28.5,65.08,72.83,59.04,16.06,4.27,9.76,14.57,14.76,59.43,Upper-middle,Volume,42
LOG,Logística e Gestão de Armazém,Logística,Centro 2,2.5,1.3,40.0,20.8,-0.06,0.03,6.5,19.5,0.75,0.71,5,4,82,405,19,74,23.2,18.3,60.62,59.79,0.0,92.5,93.33,45.0,24.17,70.42,74.79,77.29,52.69,68.98,60.29,37.0,74.0,42.67,75.79,15.07,5.55,11.1,8.53,18.95,59.2,Upper-middle,Simultaneity,43
PYT,Introdução à Programação em Python,Informática,Centro 4,1.92,1.28,57.5,38.33,0.02,0.02,12.0,13.5,0.83,0.66,4,4,139,841,34,139,24.5,16.5,57.08,74.58,26.67,71.25,43.75,82.92,47.08,50.0,70.0,73.12,51.75,70.05,64.08,44.5,59.42,48.25,71.25,16.02,6.68,8.91,9.65,17.81,59.07,Upper-middle,Simultaneity,44
PRO,Gestão de Projetos,Gestão,Centro 4,2.42,1.16,60.42,28.89,0.02,0.01,7.0,19.0,0.83,0.67,4,3,148,628,47,103,31.8,16.4,69.38,61.46,26.67,30.42,82.08,48.33,47.08,55.42,77.29,55.42,62.4,52.11,66.21,28.17,68.58,50.42,68.54,16.55,4.22,10.29,10.08,17.14,58.28,Upper-middle,Simultaneity,45
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 4,1.83,1.31,165.0,118.0,0.05,0.01,9.0,14.0,0.58,0.64,3,6,233,1478,150,703,64.4,47.6,66.46,83.96,37.08,30.42,57.92,73.75,4.58,44.58,73.96,98.96,50.27,70.27,73.46,34.42,64.25,20.58,83.96,18.36,5.16,9.64,4.12,20.99,58.27,Upper-middle,Simultaneity,46
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 5,2.92,1.29,72.92,32.22,-0.0,0.02,8.5,16.0,0.83,0.68,4,3,132,501,34,57,25.8,11.4,82.29,70.83,0.0,71.25,62.92,56.25,47.08,61.25,73.54,38.33,57.81,58.67,77.71,28.5,60.25,52.75,59.46,19.43,4.27,9.04,10.55,14.86,58.15,Upper-middle,Volume,47
LOG,Logística e Gestão de Armazém,Logística,Centro 3,2.83,1.18,45.33,18.84,0.1,0.02,7.0,19.0,0.83,0.68,3,3,103,385,26,34,25.2,8.8,71.04,48.33,55.83,71.25,82.08,48.33,47.08,61.25,57.08,31.04,62.14,50.03,61.96,62.0,68.58,52.75,46.67,15.49,9.3,10.29,10.55,11.67,57.29,Upper-middle,Volume,48
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 2,1.42,1.47,70.83,73.33,0.26,0.03,12.5,15.5,0.67,0.73,2,4,130,938,22,240,16.9,25.6,49.79,86.25,93.33,92.5,40.0,59.58,10.83,79.58,26.67,82.71,41.28,80.97,64.38,93.0,47.83,38.33,49.08,16.09,13.95,7.18,7.67,12.27,57.16,Upper-middle,Volume,49
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 2,2.67,1.28,66.67,31.94,0.08,0.01,7.0,20.0,0.75,0.7,4,2,121,519,27,62,22.3,11.9,76.25,69.79,46.25,30.42,82.08,40.0,24.17,67.5,64.79,25.42,59.34,47.86,73.67,39.92,65.25,41.5,49.04,18.42,5.99,9.79,8.3,12.26,54.75,Upper-middle,Volume,50
MNT,Manutenção Industrial Básica,Manutenção,Centro 3,2.33,1.03,58.33,25.83,0.08,0.02,7.0,21.0,0.83,0.64,4,2,97,373,22,49,22.7,13.1,66.46,50.21,46.25,71.25,82.08,31.25,47.08,44.58,65.21,28.96,61.58,44.08,59.96,56.25,61.75,46.08,50.71,14.99,8.44,9.26,9.22,12.68,54.58,Upper-middle,Volume,51
SST,Saúde e Segurança no Trabalho,Segurança,Centro 3,2.33,1.31,37.33,20.98,0.15,0.01,8.5,15.5,0.75,0.72,3,4,106,477,25,58,23.6,12.2,54.58,61.46,69.17,30.42,62.92,59.58,24.17,74.58,53.54,58.75,51.68,58.47,57.33,53.67,61.58,44.33,55.62,14.33,8.05,9.24,8.87,13.91,54.39,Upper-middle,Volume,52
MNT,Manutenção Industrial Básica,Manutenção,Centro 4,2.0,1.39,50.0,34.72,0.08,0.01,14.0,14.0,0.83,0.72,4,3,83,513,19,47,22.9,9.2,56.67,76.88,46.25,30.42,27.08,73.75,47.08,74.58,65.62,32.92,50.99,57.99,64.75,39.92,45.75,58.08,52.54,16.19,5.99,6.86,11.62,13.14,53.79,Upper-middle,Volume,53
TUR,Atendimento Turístico,Turismo,Centro 5,2.33,1.0,37.33,16.0,0.2,0.01,12.0,22.5,1.0,0.62,4,2,90,317,21,43,23.3,13.6,54.58,31.88,85.42,30.42,43.75,24.17,91.25,37.5,67.29,31.04,68.09,31.42,45.5,63.42,35.92,69.75,52.79,11.37,9.51,5.39,13.95,13.2,53.42,Upper-middle,Regularity,54
SST,Saúde e Segurança no Trabalho,Segurança,Centro 2,2.17,1.43,34.67,22.93,0.1,0.02,11.5,14.0,0.83,0.66,3,3,127,526,19,81,15.0,15.4,48.75,67.08,55.83,71.25,47.5,73.75,47.08,50.0,40.21,51.46,47.16,61.39,56.08,62.0,58.0,48.25,44.71,14.02,9.3,8.7,9.65,11.18,52.85,Upper-middle,Volume,55
EXC,Excel Aplicado à Gestão,Informática,Centro 3,2.08,1.33,41.67,26.67,-0.07,0.02,13.0,20.0,0.92,0.79,2,4,131,659,27,71,20.6,10.8,53.96,69.58,0.0,71.25,37.08,40.0,71.67,89.58,32.29,53.12,41.46,65.28,60.21,28.5,38.25,78.83,40.62,15.05,4.27,5.74,15.77,10.16,50.99,Upper-middle,Regularity,56
GES,Gestão de Equipas,Gestão,Centro 2,2.0,1.24,32.0,19.91,0.16,0.01,10.5,20.0,0.83,0.72,4,2,113,509,26,49,23.0,9.6,43.33,53.33,72.92,30.42,49.17,40.0,47.08,74.58,66.25,19.17,55.12,43.6,47.33,55.92,45.5,58.08,47.42,11.83,8.39,6.82,11.62,11.85,50.52,Upper-middle,Simultaneity,57
LID,Liderança e Comunicação,Gestão,Centro 4,1.92,1.3,30.67,20.8,0.03,0.02,14.0,17.5,0.83,0.74,3,3,96,569,23,83,24.0,14.6,39.17,59.79,30.42,71.25,27.08,53.33,47.08,82.92,53.96,49.17,41.32,62.51,47.42,46.75,37.58,61.42,52.04,11.85,7.01,5.64,12.28,13.01,49.8,Lower-middle,Simultaneity,58
SEG,Segurança no Trabalho,Segurança,Centro 3,2.25,1.34,18.0,10.76,0.11,0.02,7.0,16.0,0.67,0.72,4,4,72,316,9,35,12.5,11.1,33.33,41.25,58.33,71.25,82.08,56.25,10.83,74.58,50.0,53.75,44.06,57.79,36.5,63.5,71.75,36.33,51.5,9.12,9.52,10.76,7.27,12.88,49.55,Lower-middle,Simultaneity,59
PYT,Introdução à Programação em Python,Informática,Centro 3,1.67,1.04,50.0,31.33,0.15,0.02,16.5,14.0,0.67,0.6,3,4,123,684,32,131,26.0,19.2,47.71,55.42,69.17,71.25,13.33,73.75,10.83,31.25,59.79,77.71,41.42,61.28,50.79,70.0,37.5,19.0,66.96,12.7,10.5,5.62,3.8,16.74,49.36,Lower-middle,Simultaneity,60
HCP,HACCP Aplicado,Alimentar,Centro 5,1.83,1.4,22.0,16.8,0.13,0.01,14.0,14.0,0.92,0.72,2,4,55,332,10,38,18.2,11.4,28.13,55.0,61.67,30.42,27.08,73.75,71.67,74.58,29.17,55.42,41.97,58.15,38.88,49.17,45.75,72.83,39.67,9.72,7.37,6.86,14.57,9.92,48.44,Lower-middle,Regularity,61
PRI,Primeiros Socorros,Saúde e Segurança,Centro 5,2.58,1.16,31.0,13.87,0.02,0.01,6.5,20.0,0.83,0.64,4,3,78,283,16,21,20.5,7.4,54.17,36.67,26.67,30.42,93.33,40.0,47.08,44.58,61.46,25.62,56.32,35.05,47.17,28.17,72.0,46.08,47.12,11.79,4.22,10.8,9.22,11.78,47.81,Lower-middle,Volume,62
GES,Gestão de Equipas,Gestão,Centro 4,2.33,1.24,37.33,19.91,-0.01,0.01,13.0,19.5,0.83,0.64,4,3,120,489,30,88,25.0,18.0,54.58,53.33,0.0,30.42,37.08,45.0,47.08,44.58,70.83,59.79,46.33,48.51,54.08,12.17,40.25,46.08,66.42,13.52,1.82,6.04,9.22,16.6,47.2,Lower-middle,Simultaneity,63
ING,Inglês Profissional,Línguas,Centro 3,1.67,1.11,50.0,33.33,-0.01,0.01,12.0,20.0,0.83,0.61,4,4,141,705,29,155,20.6,22.0,47.71,61.04,0.0,30.42,43.75,40.0,47.08,33.75,62.5,79.79,43.53,52.52,53.04,12.17,42.25,41.75,69.42,13.26,1.82,6.34,8.35,17.35,47.13,Lower-middle,Simultaneity,64
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 1,2.42,1.17,19.33,9.33,0.04,0.01,10.0,18.0,0.92,0.69,4,2,61,310,14,26,23.0,8.4,40.21,29.37,33.33,30.42,52.5,51.67,71.67,64.58,66.25,13.96,53.82,36.06,35.88,32.17,52.17,68.83,45.33,8.97,4.82,7.82,13.77,11.33,46.72,Lower-middle,Regularity,65
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 1,2.33,1.24,37.33,19.91,0.0,0.01,14.0,14.0,0.92,0.64,2,3,74,352,22,48,29.7,13.6,54.58,53.33,0.0,30.42,27.08,73.75,71.67,44.58,46.25,45.83,43.6,49.33,54.08,12.17,45.75,60.83,46.08,13.52,1.82,6.86,12.17,11.52,45.9,Lower-middle,Volume,66
