course_id,course_name,course_area,local,total_leads_last_13w,total_leads_historical,total_sales_last_13w,total_sales_historical,avg_leads_last_13w,avg_leads_historical,avg_sales_last_13w,avg_sales_historical,total_conversion_rate_last_13w,total_conversion_rate_historical,avg_conversion_rate_last_13w,avg_conversion_rate_historical,pct_with_leads_last_13w,pct_with_leads_historical,pct_with_sales_last_13w,pct_with_sales_historical,leads_weekly_change_avg_last_13w,leads_weekly_change_avg_historical,sales_weekly_change_avg_last_13w,sales_weekly_change_avg_historical,commercial_volume_last_13w_score,commercial_volume_historical_score,commercial_conversion_last_13w_score,commercial_conversion_historical_score,commercial_regularity_last_13w_score,commercial_regularity_historical_score,commercial_growth_last_13w_score,commercial_growth_historical_score,commercial_last_13w_score,commercial_historical_score,commercial_volume_score,commercial_conversion_score,commercial_regularity_score,commercial_growth_score,commercial_volume_contribution,commercial_conversion_contribution,commercial_regularity_contribution,commercial_growth_contribution,commercial_base_score,commercial_pressure_tier,commercial_main_pressure_driver,commercial_priority_rank
CYB,Cibersegurança Básica,Informática,Centro 4,1651,13502,496,3921,127.0,78.05,38.15,22.66,30.04,29.04,29.06,29.46,100.0,92.49,100.0,92.49,-3.23,1.09,-0.92,0.32,100.0,99.58,29.17,37.08,95.42,99.17,0.0,99.17,66.15,83.79,99.83,32.33,96.92,39.67,34.94,8.08,24.23,5.95,73.2,Upper-middle,Volume,11
PBI,Power BI e Visualização de Dados,Informática,Centro 5,805,5815,241,1698,61.92,33.61,18.54,9.82,29.94,29.2,38.28,28.12,100.0,68.21,100.0,68.79,0.31,0.39,0.08,0.12,92.92,64.17,64.17,31.67,95.42,46.46,80.62,82.92,84.51,54.43,81.42,51.17,75.83,81.54,28.5,12.79,18.96,12.23,72.48,Upper-middle,Volume,12
CYB,Cibersegurança Básica,Informática,Centro 2,1466,11088,434,3188,112.77,64.09,33.38,18.43,29.6,28.75,29.13,28.19,100.0,88.44,100.0,88.44,-11.62,0.71,-3.62,0.21,98.75,97.5,28.54,28.75,95.42,97.08,0.0,95.0,65.55,79.83,98.25,28.62,96.08,38.0,34.39,7.16,24.02,5.7,71.26,Upper-middle,Volume,13
CYB,Cibersegurança Básica,Informática,Centro 1,886,10560,252,2894,68.15,61.04,19.38,16.73,28.44,27.41,28.26,26.94,100.0,79.77,100.0,79.77,1.62,0.23,0.46,0.06,94.58,95.42,16.67,13.12,95.42,81.25,87.92,63.12,74.31,66.46,94.92,15.25,89.75,78.0,33.22,3.81,22.44,11.7,71.17,Upper-middle,Volume,14
SEG,Segurança no Trabalho,Segurança,Centro 3,480,5592,161,1814,36.92,32.32,12.38,10.49,33.54,32.44,31.81,31.93,92.31,75.72,92.31,75.72,6.62,0.03,2.31,0.0,73.33,66.67,62.5,71.67,84.17,69.79,97.5,18.96,76.96,61.54,70.67,66.17,78.42,66.08,24.73,16.54,19.6,9.91,70.79,Upper-middle,Volume,15
SST,Saúde e Segurança no Trabalho,Segurança,Centro 5,686,7734,226,2480,52.77,44.71,17.38,14.34,32.94,32.07,33.09,31.43,76.92,87.86,76.92,87.86,-8.15,0.35,-2.62,0.08,87.92,88.75,68.75,65.42,56.88,95.42,0.0,73.33,62.18,82.27,88.25,67.42,72.29,29.33,30.89,16.85,18.07,4.4,70.21,Upper-middle,Volume,16
SST,Saúde e Segurança no Trabalho,Segurança,Centro 1,509,7748,174,2528,39.15,44.79,13.38,14.61,34.18,32.63,34.02,31.99,69.23,88.44,69.23,87.86,-3.92,0.34,-1.38,0.11,75.83,89.58,81.25,73.54,42.5,96.25,0.0,79.17,57.48,85.68,81.33,78.17,64.0,31.67,28.47,19.54,16.0,4.75,68.76,Upper-middle,Volume,17
SCI,Segurança Contra Incêndios,Segurança,Centro 1,809,6611,254,1961,62.23,38.21,19.54,11.34,31.4,29.66,31.37,28.91,100.0,79.19,100.0,79.19,-8.69,0.7,-2.77,0.21,94.58,78.33,40.0,40.0,95.42,79.17,0.0,94.58,66.96,71.4,88.08,40.0,88.92,37.83,30.83,10.0,22.23,5.68,68.73,Upper-middle,Volume,18
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 3,659,8227,202,2422,50.69,47.55,15.54,14.0,30.65,29.44,29.46,28.73,100.0,89.02,100.0,89.02,-2.85,0.48,-0.77,0.14,84.79,89.58,32.92,37.08,95.42,98.33,0.0,86.67,61.76,78.21,86.71,34.58,96.58,34.67,30.35,8.65,24.15,5.2,68.34,Upper-middle,Volume,19
CYB,Cibersegurança Básica,Informática,Centro 3,1028,9051,281,2391,79.08,52.32,21.62,13.82,27.33,26.42,27.28,25.79,84.62,83.82,84.62,83.82,2.08,0.48,0.62,0.12,97.08,91.25,7.5,5.0,71.25,87.92,90.62,85.42,67.26,67.98,94.75,6.5,77.92,88.54,33.16,1.62,19.48,13.28,67.55,Upper-middle,Volume,20
SST,Saúde e Segurança no Trabalho,Segurança,Centro 4,431,5018,151,1732,33.15,29.01,11.62,10.01,35.03,34.52,34.59,33.68,76.92,70.52,76.92,70.52,4.23,-0.11,1.46,-0.06,64.58,60.0,91.25,92.5,56.88,55.83,94.17,0.0,73.76,58.08,62.75,91.75,56.46,56.5,21.96,22.94,14.11,8.48,67.49,Upper-middle,Conversion,21
PRI,Primeiros Socorros,Saúde e Segurança,Centro 2,348,3911,124,1387,26.77,22.61,9.54,8.02,35.63,35.46,33.91,33.92,84.62,72.25,84.62,72.83,6.69,0.05,2.54,0.01,51.46,32.92,88.33,95.83,71.25,63.33,98.33,41.04,72.66,57.47,44.04,91.33,68.08,75.42,15.41,22.83,17.02,11.31,66.58,Upper-middle,Conversion,22
LOG,Logística e Gestão de Armazém,Logística,Centro 1,406,6533,139,2116,31.23,37.76,10.69,12.23,34.24,32.39,33.97,31.78,84.62,78.03,84.62,78.03,-9.69,0.57,-3.31,0.18,59.79,80.0,81.25,69.79,71.25,75.21,0.0,90.83,59.05,77.88,67.88,76.67,72.83,36.33,23.76,19.17,18.21,5.45,66.58,Upper-middle,Volume,22
VND,Vendas e Negociação,Comercial,Centro 2,455,6836,147,2133,35.0,39.51,11.31,12.33,32.31,31.2,31.79,31.03,100.0,77.46,100.0,77.46,-4.85,0.35,-1.62,0.11,66.67,82.92,52.08,59.17,95.42,73.54,0.0,80.0,60.21,74.2,73.17,54.92,86.67,32.0,25.61,13.73,21.67,4.8,65.8,Upper-middle,Volume,23
LOG,Logística e Gestão de Armazém,Logística,Centro 2,438,5162,152,1759,33.69,29.84,11.69,10.17,34.7,34.08,32.98,34.7,92.31,72.83,92.31,72.83,-1.15,0.07,-0.46,0.02,67.5,60.83,78.75,92.92,84.17,63.96,0.0,43.75,64.35,67.07,64.83,84.42,76.08,17.5,22.69,21.1,19.02,2.62,65.44,Upper-middle,Volume,24
VND,Vendas e Negociação,Comercial,Centro 4,470,5959,154,1909,36.15,34.45,11.85,11.03,32.77,32.04,31.03,31.59,69.23,78.03,69.23,78.03,1.0,0.33,0.38,0.1,70.62,72.08,51.25,65.0,42.5,75.21,85.21,75.42,60.94,71.59,71.21,56.75,55.58,81.29,24.92,14.19,13.9,12.19,65.2,Upper-middle,Volume,25
EXC,Excel Aplicado à Gestão,Informática,Centro 3,572,5788,185,1830,44.0,33.46,14.23,10.58,32.34,31.62,30.79,30.81,76.92,73.41,76.92,73.41,12.46,-0.03,4.08,-0.02,80.42,69.17,45.62,60.62,56.88,65.83,100.0,0.0,68.77,55.82,75.92,51.62,60.46,60.0,26.57,12.91,15.11,9.0,63.59,Upper-middle,Volume,26
PBI,Power BI e Visualização de Dados,Informática,Centro 3,706,8965,209,2606,54.31,51.82,16.08,15.06,29.6,29.07,27.98,28.28,84.62,83.82,84.62,83.82,-7.62,0.76,-2.31,0.23,87.5,92.92,21.25,31.88,71.25,87.92,0.0,96.46,53.75,76.94,89.67,25.5,77.92,38.58,31.38,6.38,19.48,5.79,63.03,Upper-middle,Volume,27
PBI,Power BI e Visualização de Dados,Informática,Centro 1,576,8607,184,2567,44.31,49.75,14.15,14.84,31.94,29.82,31.77,28.99,92.31,84.39,92.31,84.39,-0.46,-0.03,-0.15,-0.02,80.21,92.08,49.17,41.67,84.17,90.0,0.0,0.0,61.41,65.15,84.96,46.17,86.5,0.0,29.74,11.54,21.62,0.0,62.9,Upper-middle,Volume,28
HCP,HACCP Aplicado,Alimentar,Centro 1,522,3434,176,1121,40.15,19.85,13.54,6.48,33.72,32.64,33.46,34.18,92.31,64.74,92.31,64.74,0.38,-0.03,0.15,-0.02,76.88,19.58,75.83,85.42,84.17,35.62,82.5,0.0,79.28,37.11,53.96,79.67,64.75,49.5,18.89,19.92,16.19,7.42,62.41,Upper-middle,Conversion,29
PYT,Introdução à Programação em Python,Informática,Centro 2,630,10608,184,2978,48.46,61.32,14.15,17.21,29.21,28.07,28.16,27.56,84.62,85.55,84.62,85.55,-7.62,0.59,-2.23,0.17,81.88,96.25,20.21,19.79,71.25,92.5,0.0,90.42,51.52,75.32,87.62,20.04,79.75,36.17,30.67,5.01,19.94,5.42,61.04,Upper-middle,Volume,30
MNT,Manutenção Industrial Básica,Manutenção,Centro 5,772,6329,224,1783,59.38,36.58,17.23,10.31,29.02,28.17,27.31,28.2,100.0,80.35,100.0,80.35,-3.69,0.31,-1.08,0.09,89.79,72.5,14.17,26.25,95.42,83.12,0.0,71.67,58.82,63.47,82.88,19.0,90.5,28.67,29.01,4.75,22.62,4.3,60.68,Upper-middle,Volume,31
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 3,390,4574,134,1562,30.0,26.44,10.31,9.03,34.36,34.15,34.34,33.14,84.62,71.68,84.62,71.68,-1.85,0.06,-0.62,0.01,57.71,46.25,85.0,88.12,71.25,60.21,0.0,41.46,59.26,59.49,53.12,86.25,66.83,16.58,18.59,21.56,16.71,2.49,59.35,Upper-middle,Conversion,32
SST,Saúde e Segurança no Trabalho,Segurança,Centro 2,332,5586,116,1891,25.54,32.29,8.92,10.93,34.94,33.85,34.62,32.84,69.23,79.77,69.23,79.77,-2.15,0.18,-0.69,0.05,47.08,68.12,90.0,83.75,42.5,81.25,0.0,57.08,49.6,73.66,55.5,87.5,58.0,22.83,19.42,21.88,14.5,3.42,59.22,Upper-middle,Conversion,33
PRI,Primeiros Socorros,Saúde e Segurança,Centro 4,291,4409,108,1591,22.38,25.49,8.31,9.2,37.11,36.09,35.85,35.01,76.92,62.43,76.92,62.43,3.77,-0.1,1.46,-0.05,39.58,45.0,97.08,98.75,56.88,30.0,93.33,0.0,66.34,47.94,41.75,97.75,46.12,56.0,14.61,24.44,11.53,8.4,58.98,Upper-middle,Conversion,34
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 1,288,4627,102,1604,22.15,26.75,7.85,9.27,35.42,34.67,34.73,33.93,69.23,73.99,69.23,73.99,0.15,-0.04,0.08,-0.02,37.29,50.0,93.75,95.0,42.5,67.5,79.17,0.0,58.99,58.12,42.38,94.25,52.5,47.5,14.83,23.56,13.12,7.12,58.64,Upper-middle,Conversion,35
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 3,489,6676,157,2021,37.62,38.59,12.08,11.68,32.11,30.27,31.99,29.57,76.92,88.44,76.92,87.86,0.0,-0.01,0.0,-0.01,73.33,80.0,53.33,45.0,56.88,96.25,0.0,0.0,53.22,63.31,76.0,50.0,72.62,0.0,26.6,12.5,18.16,0.0,57.26,Upper-middle,Volume,36
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 2,394,4800,134,1589,30.31,27.75,10.31,9.18,34.01,33.1,33.48,32.92,84.62,67.05,84.62,67.05,-2.23,0.17,-0.69,0.05,58.12,50.42,77.08,82.5,71.25,41.04,0.0,55.62,57.43,56.88,55.04,79.25,59.17,22.25,19.26,19.81,14.79,3.34,57.21,Upper-middle,Conversion,37
SEG,Segurança no Trabalho,Segurança,Centro 2,254,4519,91,1571,19.54,26.12,7.0,9.08,35.83,34.76,33.17,33.39,92.31,71.1,92.31,70.52,-3.62,0.28,-1.31,0.1,28.54,45.42,84.58,93.12,84.17,57.29,0.0,71.88,52.18,64.28,35.29,88.0,73.42,28.75,12.35,22.0,18.35,4.31,57.02,Upper-middle,Conversion,38
MNT,Manutenção Industrial Básica,Manutenção,Centro 2,478,3572,152,1088,36.77,20.65,11.69,6.29,31.8,30.46,31.93,29.44,92.31,64.74,92.31,64.16,0.23,0.13,0.15,0.04,70.0,20.0,50.0,44.58,84.17,34.79,81.46,49.58,70.26,34.28,50.0,47.83,64.42,68.71,17.5,11.96,16.1,10.31,55.87,Upper-middle,Volume,39
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 4,355,3320,133,1217,27.31,19.19,10.23,7.03,37.46,36.66,37.0,35.53,61.54,63.58,61.54,63.58,1.23,0.01,0.54,0.0,54.17,21.67,98.75,100.0,29.79,31.67,87.92,16.88,64.28,43.03,41.17,99.25,30.54,59.5,14.41,24.81,7.64,8.92,55.78,Upper-middle,Conversion,40
LID,Liderança e Comunicação,Gestão,Centro 4,450,6095,144,1820,34.62,35.23,11.08,10.52,32.0,29.86,31.88,28.77,76.92,80.35,76.92,80.35,-0.85,0.17,-0.23,0.04,65.21,71.67,51.25,41.67,56.88,83.12,0.0,52.71,49.85,64.19,67.79,47.42,67.38,21.08,23.73,11.85,16.84,3.16,55.59,Upper-middle,Volume,41
PRI,Primeiros Socorros,Saúde e Segurança,Centro 5,433,4238,150,1420,33.31,24.5,11.54,8.21,34.64,33.51,33.66,33.05,69.23,70.52,69.23,70.52,-0.08,0.1,0.0,0.03,65.42,37.5,82.29,84.58,42.5,55.83,0.0,46.25,54.09,55.17,54.25,83.21,47.83,18.5,18.99,20.8,11.96,2.78,54.52,Upper-middle,Conversion,42
PYT,Introdução à Programação em Python,Informática,Centro 1,696,7701,188,2052,53.54,44.51,14.46,11.86,27.01,26.65,26.17,25.98,84.62,75.14,84.62,75.72,-20.38,1.67,-5.85,0.46,85.0,83.33,3.75,7.08,71.25,68.96,0.0,100.0,48.5,63.18,84.33,5.08,70.33,40.0,29.52,1.27,17.58,6.0,54.37,Upper-middle,Volume,43
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 5,406,6026,131,1848,31.23,34.83,10.08,10.68,32.27,30.67,32.18,29.67,53.85,79.19,53.85,79.19,2.85,-0.01,0.92,-0.02,57.71,71.25,55.0,48.96,18.75,79.17,91.67,0.0,52.39,56.97,63.12,52.58,42.92,55.0,22.09,13.15,10.73,8.25,54.22,Upper-middle,Volume,44
SEG,Segurança no Trabalho,Segurança,Centro 1,201,8206,67,2729,15.46,47.43,5.15,15.77,33.33,33.26,31.65,32.89,53.85,84.39,53.85,84.39,5.15,-0.2,1.77,-0.08,15.42,91.25,59.38,82.5,18.75,90.0,96.67,0.0,39.43,75.06,45.75,68.62,47.25,58.0,16.01,17.16,11.81,8.7,53.68,Upper-middle,Conversion,45
PRO,Gestão de Projetos,Gestão,Centro 2,623,6287,180,1767,47.92,36.34,13.85,10.21,28.89,28.11,28.45,26.63,92.31,67.63,92.31,67.05,-4.08,0.33,-1.23,0.1,80.83,71.25,20.0,15.42,84.17,41.88,0.0,75.42,54.33,50.57,77.0,18.17,67.25,30.17,26.95,4.54,16.81,4.53,52.83,Upper-middle,Volume,46
LOG,Logística e Gestão de Armazém,Logística,Centro 3,412,5421,136,1714,31.69,31.34,10.46,9.91,33.01,31.62,32.97,31.11,76.92,72.25,76.92,72.25,-2.15,-0.04,-0.69,-0.03,60.0,61.67,68.33,62.71,56.88,62.5,0.0,0.0,52.3,52.89,60.67,66.08,59.12,0.0,21.23,16.52,14.78,0.0,52.54,Upper-middle,Volume,47
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 2,325,4969,108,1615,25.0,28.72,8.31,9.34,33.23,32.5,31.61,31.99,92.31,75.72,92.31,75.72,0.0,-0.06,0.0,-0.03,43.54,55.0,57.5,73.12,84.17,69.79,0.0,0.0,50.66,54.98,48.12,63.75,78.42,0.0,16.84,15.94,19.6,0.0,52.39,Upper-middle,Regularity,48
ING,Inglês Profissional,Línguas,Centro 2,705,5223,228,1619,54.23,30.19,17.54,9.36,32.34,31.0,32.09,30.25,76.92,63.58,76.92,63.58,0.0,-0.06,0.0,-0.03,89.17,57.5,55.62,55.0,56.88,31.67,0.0,0.0,59.33,41.79,76.5,55.38,46.79,0.0,26.78,13.84,11.7,0.0,52.32,Upper-middle,Volume,49
SST,Saúde e Segurança no Trabalho,Segurança,Centro 3,333,5627,110,1776,25.62,32.53,8.46,10.27,33.03,31.56,32.36,31.18,76.92,71.68,76.92,71.68,-5.23,0.15,-1.69,0.03,45.42,65.83,64.58,62.08,56.88,60.21,0.0,49.17,46.26,60.99,53.58,63.58,58.21,19.67,18.75,15.9,14.55,2.95,52.15,Upper-middle,Volume,50
HCP,HACCP Aplicado,Alimentar,Centro 4,433,2946,152,1003,33.31,17.03,11.69,5.8,35.1,34.05,34.1,33.42,84.62,59.54,84.62,59.54,-0.31,-0.1,-0.08,-0.05,66.67,14.17,89.17,89.58,71.25,23.33,0.0,0.0,63.44,33.19,45.67,89.33,52.08,0.0,15.98,22.33,13.02,0.0,51.34,Upper-middle,Conversion,51
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 2,364,3931,120,1296,28.0,22.72,9.23,7.49,32.97,32.97,31.62,32.57,92.31,64.16,92.31,64.16,-1.15,0.17,-0.46,0.05,52.08,30.62,56.25,78.33,84.17,33.96,0.0,55.62,53.33,47.14,43.5,65.08,64.08,22.25,15.22,16.27,16.02,3.34,50.85,Upper-middle,Conversion,52
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 3,728,5001,202,1355,56.0,28.91,15.54,7.83,27.75,27.09,27.14,27.76,92.31,69.94,92.31,69.94,-1.08,0.37,-0.31,0.1,87.29,45.62,9.17,17.5,84.17,51.25,0.0,78.12,53.89,44.88,70.62,12.5,71.0,31.25,24.72,3.12,17.75,4.69,50.28,Upper-middle,Volume,53
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 2,379,5631,121,1680,29.15,32.55,9.31,9.71,31.93,29.83,31.0,28.65,69.23,67.63,69.23,67.63,1.38,-0.33,0.46,-0.13,53.75,62.5,43.33,40.21,42.5,43.12,87.5,0.0,53.4,42.71,57.25,42.08,42.75,52.5,20.04,10.52,10.69,7.88,49.12,Lower-middle,Volume,54
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 1,304,4524,99,1414,23.38,26.15,7.62,8.17,32.57,31.26,32.44,30.46,76.92,68.21,76.92,67.63,0.54,0.0,0.15,0.0,37.5,40.62,61.25,57.92,56.88,44.58,82.92,0.0,55.09,39.84,38.75,59.92,51.96,49.75,13.56,14.98,12.99,7.46,48.99,Lower-middle,Conversion,55
SEG,Segurança no Trabalho,Segurança,Centro 4,244,5244,84,1853,18.77,30.31,6.46,10.71,34.43,35.34,32.25,34.19,69.23,78.61,69.23,78.61,-2.31,-0.04,-0.77,-0.04,25.42,65.42,71.25,96.67,42.5,77.08,0.0,0.0,37.33,66.33,41.42,81.42,56.33,0.0,14.5,20.35,14.08,0.0,48.93,Lower-middle,Conversion,56
GES,Gestão de Equipas,Gestão,Centro 4,423,5838,125,1722,32.54,33.75,9.62,9.95,29.55,29.5,28.34,28.45,84.62,66.47,84.62,66.47,-13.85,0.78,-4.23,0.19,57.5,66.25,24.17,36.04,71.25,39.17,0.0,94.58,43.98,56.18,61.0,28.92,58.42,37.83,21.35,7.23,14.6,5.68,48.86,Lower-middle,Volume,57
MNT,Manutenção Industrial Básica,Manutenção,Centro 1,342,7177,102,2049,26.31,41.49,7.85,11.84,29.82,28.55,28.27,27.45,76.92,79.19,76.92,79.19,-2.85,0.41,-0.77,0.11,45.21,82.5,25.0,21.25,56.88,79.17,0.0,81.88,36.29,66.26,60.12,23.5,65.79,32.75,21.04,5.88,16.45,4.91,48.28,Lower-middle,Volume,58
EXC,Excel Aplicado à Gestão,Informática,Centro 5,231,6856,77,2208,17.77,39.63,5.92,12.76,33.33,32.21,32.33,31.9,53.85,82.66,53.85,82.66,-0.08,0.17,-0.08,0.04,22.08,84.17,65.83,68.75,18.75,86.04,0.0,52.71,28.88,76.06,46.92,67.0,45.67,21.08,16.42,16.75,11.42,3.16,47.75,Lower-middle,Conversion,59
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 4,363,2884,127,971,27.92,16.67,9.77,5.61,34.99,33.67,34.24,32.73,84.62,56.07,84.62,56.07,-2.31,0.02,-0.77,-0.01,53.33,11.25,89.17,82.29,71.25,15.83,0.0,17.71,58.77,31.12,36.5,86.42,49.08,7.08,12.77,21.6,12.27,1.06,47.71,Lower-middle,Conversion,60
MNT,Manutenção Industrial Básica,Manutenção,Centro 3,493,4961,145,1381,37.92,28.68,11.15,7.98,29.41,27.84,27.56,26.72,76.92,73.41,76.92,73.41,0.15,-0.05,0.08,-0.02,68.75,45.0,17.92,13.75,56.88,65.83,79.17,0.0,54.64,35.65,59.25,16.25,60.46,47.5,20.74,4.06,15.11,7.12,47.04,Lower-middle,Volume,61
VND,Vendas e Negociação,Comercial,Centro 1,365,4817,114,1411,28.08,27.84,8.77,8.16,31.23,29.29,31.59,28.07,69.23,70.52,69.23,69.94,8.62,-0.03,2.62,-0.01,51.04,44.58,40.83,31.46,42.5,53.33,99.17,0.0,53.57,36.8,48.46,37.08,46.83,59.5,16.96,9.27,11.71,8.92,46.86,Lower-middle,Volume,62
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 5,432,3241,142,992,33.23,18.73,10.92,5.73,32.87,30.61,32.76,29.53,84.62,56.07,84.62,56.07,0.0,0.24,0.0,0.08,62.08,16.04,66.25,46.67,71.25,15.83,0.0,66.46,56.1,31.21,43.67,58.42,49.08,26.58,15.28,14.6,12.27,3.99,46.15,Lower-middle,Volume,63
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 4,280,4883,94,1597,21.54,28.23,7.23,9.23,33.57,32.71,33.63,31.71,46.15,78.03,46.15,77.46,-4.15,0.3,-1.38,0.1,32.29,52.5,76.25,70.83,10.83,74.38,0.0,72.92,33.07,65.61,40.38,74.08,36.25,29.17,14.13,18.52,9.06,4.38,46.09,Lower-middle,Conversion,64
HCP,HACCP Aplicado,Alimentar,Centro 3,295,4547,95,1418,22.69,26.28,7.31,8.2,32.2,31.19,32.19,30.96,76.92,70.52,76.92,70.52,-4.15,0.26,-1.31,0.08,35.42,42.08,55.0,58.33,56.88,55.83,0.0,67.5,40.36,53.4,38.08,56.33,56.46,27.0,13.33,14.08,14.11,4.05,45.58,Lower-middle,Regularity,65
CYB,Cibersegurança Básica,Informática,Centro 5,560,8417,156,2252,43.08,48.65,12.0,13.02,27.86,26.76,27.96,26.12,69.23,76.3,69.23,76.3,-0.85,-0.15,-0.23,-0.06,75.62,89.17,12.5,8.33,42.5,71.67,0.0,0.0,40.22,51.21,81.04,10.83,54.17,0.0,28.36,2.71,13.54,0.0,44.61,Lower-middle,Volume,66
